Systematic Name,Transcriptional Plasticity
YBR188C,0.140411017
YLR015W,0.140434533
YDR207C,0.14044424
YGR262C,0.140499144
YJL013C,0.140601984
YLR368W,0.140602319
YEL076C-A,0.140611333
YLR269C,0.140672966
YKL098W,0.140843518
YBR140C,0.140886987
YDR364C,0.140898825
YNL338W,0.141007031
YPR109W,0.141076176
YJR114W,0.141102372
YBR276C,0.141146215
YGL119W,0.141221795
YOR275C,0.141237051
YDL228C,0.141248681
YCL051W,0.141277623
YGL044C,0.141278191
YGL065C,0.141315975
YDR336W,0.141332935
YER093C-A,0.141354929
YOR015W,0.141387722
YPR168W,0.141457452
YPL254W,0.1414687
YBL057C,0.141576807
YGL130W,0.141599536
YBR176W,0.141641228
YBR259W,0.141688316
YDR182W,0.141755817
YKR022C,0.14176827
YNL099C,0.141785183
YDR198C,0.141792178
YLR277C,0.141872949
YDR472W,0.14192859
YIR009W,0.14201
YHR073W,0.142040954
YLR171W,0.142051027
YLR019W,0.14212423
YPL190C,0.142152043
YLR098C,0.14218879
YBR239C,0.142219841
YKL169C,0.14224705
YMR257C,0.142370084
YML127W,0.142445791
YBR015C,0.14250198
YGL131C,0.142504733
YGR186W,0.142514554
YKL173W,0.142582978
YMR287C,0.142623212
YDR195W,0.14262446
YGL108C,0.142743299
YAL041W,0.142748479
YKR037C,0.142790477
YJR057W,0.14280917
YPL084W,0.142843775
YEL004W,0.142860298
YGL051W,0.1429928
YPL228W,0.143028456
YJL146W,0.143039589
YJR005W,0.143138137
YER048C,0.143139933
YJL047C,0.143183542
YLR358C,0.143193091
YLR373C,0.143215164
YJR084W,0.143331282
YGL152C,0.143388333
YER173W,0.143565629
YDL016C,0.143638883
YOR111W,0.143663445
YJL046W,0.143854438
YGL257C,0.143922123
YPL248C,0.143980743
YDR193W,0.143994077
YPL168W,0.144124643
YGR017W,0.144311843
YKL025C,0.144328101
YNL266W,0.144372045
YBR195C,0.144385122
YGL241W,0.144399228
YCR033W,0.144486739
YER113C,0.144515581
YNL020C,0.144594034
YNL253W,0.144668456
YNL048W,0.144674436
YPR071W,0.144707999
YBR194W,0.144757064
YJL162C,0.144836605
YKR100C,0.144856725
YML100W-A,0.144857365
YIR008C,0.144922941
YNR052C,0.144970041
YDR267C,0.144976137
YDL119C,0.144977678
YMR187C,0.145008615
YJL169W,0.145039015
YDR524C,0.145101719
YNL106C,0.14513157
YIL022W,0.145136745
YDL190C,0.145188235
YBL104C,0.145219057
YPL029W,0.145252414
YGL129C,0.14528158
YKL059C,0.145289326
YGR203W,0.145305263
YGR002C,0.145337923
YPR105C,0.145377922
YDL177C,0.145519492
YOR349W,0.145547432
YGR199W,0.145592347
YLR105C,0.14562317
YDR478W,0.145665371
YKL155C,0.145828068
YDR521W,0.14583197
YLR381W,0.145832764
YKL089W,0.145833955
YOL063C,0.145878448
YLR067C,0.145886941
YNL081C,0.145961281
YOL050C,0.146087499
YDR369C,0.146109656
YML071C,0.146273837
YGR077C,0.146285664
YHL006C,0.146317686
YMR161W,0.14640903
YKL197C,0.146512057
YER167W,0.146713339
YNL201C,0.146775945
YKR063C,0.146863894
YOR070C,0.146868904
YOL072W,0.146871404
YIL029C,0.14690278
YGL082W,0.146915393
YGR277C,0.146952879
YLR016C,0.147002197
YFR021W,0.147059788
YGL159W,0.147091435
YDL158C,0.147099106
YJL099W,0.147118878
YHL038C,0.147133472
YBR150C,0.147138587
YCR028C,0.147188049
YJL119C,0.147202403
YDL012C,0.147232146
YNL199C,0.147270906
YDR455C,0.147284892
YPL042C,0.147313429
YDL176W,0.147345407
YKL041W,0.147359662
YML068W,0.147364148
YPR040W,0.147412273
YMR223W,0.147469576
YBR260C,0.147486537
YNL158W,0.147522852
YGL115W,0.147599877
YLR233C,0.147626284
YJL201W,0.14766641
YOR367W,0.14775521
YML077W,0.147838697
YLL006W,0.147901465
YPL167C,0.147951679
YOL042W,0.147964631
YMR005W,0.148052397
YMR190C,0.148088363
YOR284W,0.148094921
YCR094W,0.148131039
YPR180W,0.14814064
YDR499W,0.148150435
YLR431C,0.148160363
YKL079W,0.148300892
YIL044C,0.148337942
YDR409W,0.14834812
YKL134C,0.148376777
YGR013W,0.148387347
YCR014C,0.148395359
YKR068C,0.148429638
YCL005W,0.148591774
YDR363W,0.148607934
YOR102W,0.148638067
YFR039C,0.148644483
YNL297C,0.148720245
YJR093C,0.148763929
YPR186C,0.148852136
YDR347W,0.148853873
YIL139C,0.148870501
YPR176C,0.148973407
YNL139C,0.149003082
YGL160W,0.149009671
YOR112W,0.149024681
YCR054C,0.149093567
YMR168C,0.149112586
YGL212W,0.149195615
YDR335W,0.149374181
YCL041C,0.149404184
YER133W,0.149412844
YNL107W,0.149438243
YNR048W,0.149439372
YOR191W,0.149441495
YKR035C,0.149462148
YOR118W,0.149753127
YMR021C,0.14976563
YLR443W,0.149768976
YJL081C,0.149963009
YDR404C,0.149967629
YPL102C,0.149967922
YHR188C,0.150050907
YJR131W,0.150191729
YOL029C,0.150195881
YMR211W,0.150230863
YGR163W,0.150241195
YHR129C,0.150310914
YLR418C,0.150354177
YLR262C,0.150372121
YIL004C,0.150381371
YHR114W,0.150406389
YDR482C,0.150411716
YDR323C,0.150548455
YDR420W,0.150596894
YOL070C,0.150660707
YMR163C,0.150665092
YPR072W,0.150726738
YDL231C,0.150753695
YDR301W,0.150764414
YHR178W,0.150909704
YDR140W,0.150925023
YOR278W,0.151036868
YOL045W,0.151049867
YNL222W,0.151159492
YPR050C,0.151199001
YJR042W,0.151212261
YIL085C,0.151237782
YNL032W,0.151311352
YPL064C,0.151328725
YKL179C,0.151351158
YDL225W,0.151364428
YLL003W,0.151374388
YBR219C,0.151431034
YGL172W,0.151433952
YLL010C,0.151440322
YER019W,0.151474031
YGL145W,0.151476429
YDR013W,0.151499392
YCL016C,0.151557459
YGL150C,0.151558012
YNL056W,0.151646297
YPR139C,0.151730569
YKL020C,0.151738024
YJR134C,0.15187734
YLL043W,0.151946951
YDR181C,0.151947012
YNL316C,0.152023575
YPR152C,0.152037324
YOR297C,0.152135123
YOR163W,0.152196697
YCR019W,0.152220632
YML005W,0.152251509
YPR076W,0.152285625
YJR068W,0.15232674
YBL091C,0.152344051
YJL039C,0.152350525
YMR059W,0.152361576
YGL017W,0.152431767
YLR282C,0.152436153
YER168C,0.152499376
YLR005W,0.152513655
YGR270W,0.152586647
YOL037C,0.152616341
YGL233W,0.152661749
YOR012W,0.152811012
YLR457C,0.152848805
YCL007C,0.152899901
YDR056C,0.152976735
YNL167C,0.153005087
YHR083W,0.153073135
YLR382C,0.153138002
YBR272C,0.153177756
YHR100C,0.15318719
YNR020C,0.153222149
YAL011W,0.15322272
YMR245W,0.153223378
YDR477W,0.153239998
YDR084C,0.153240103
YBR119W,0.153336779
YER066W,0.153436439
YDR109C,0.153513132
YEL019C,0.153545694
YDL175C,0.153703476
YGL227W,0.153713861
YNR005C,0.153778653
YLR422W,0.153809346
YDR383C,0.153873517
YAL032C,0.154020851
YJR018W,0.15403335
YHR132C,0.154053633
YBR097W,0.154063285
YOR296W,0.154251066
YKL015W,0.154268246
YGL110C,0.15429484
