Systematic Name,mRNA Level_D1
YCR007C,1.58496250072116
YBR178W,1.58496250072116
YBL012C,1.58496250072116
YBL048W,1.58496250072116
YCL016C,1.58496250072116
YBR152W,1.58496250072116
YBR165W,1.58496250072116
YCR063W,1.58496250072116
YBR040W,1.58496250072116
YCL044C,1.58496250072116
YBL044W,1.8073549220576
YFL053W,1.8073549220576
YJR034W,1.8073549220576
YDR126W,1.8073549220576
YDR107C,1.8073549220576
YKL095W,1.8073549220576
YCR068W,1.8073549220576
YMR162C,1.8073549220576
YDR338C,1.8073549220576
YOR140W,1.8073549220576
YOR009W,1.8073549220576
YPL005W,1.8073549220576
YHR033W,1.8073549220576
YOR384W,1.8073549220576
YPL261C,1.8073549220576
YIL072W,1.8073549220576
YCR001W,1.8073549220576
YLR352W,1.8073549220576
YPL223C,1.8073549220576
YML066C,1.8073549220576
YBR148W,1.8073549220576
YOR034C-A,1.8073549220576
YJL047C,2.0
YMR224C,2.0
YJL102W,2.0
YPL041C,2.0
Q0182,2.0
YDR374C,2.0
YOL047C,2.0
YDL127W,2.0
YJL071W,2.0
YMR232W,2.0
YGR104C,2.0
YDL085W,2.0
YDL109C,2.0
YIR015W,2.0
YOR177C,2.0
YJR010C-A,2.0
YIR014W,2.0
YGR120C,2.0
YDR325W,2.0
YDL087C,2.0
YDR109C,2.0
YOR373W,2.0
YBR298C,2.0
YLL054C,2.0
YLL035W,2.0
YLL034C,2.0
YLR453C,2.0
YPL253C,2.0
YER184C,2.0
YKR010C,2.0
YDR249C,2.0
YAR008W,2.0
YOR336W,2.0
YOR034C,2.0
YLR030W,2.0
YLR032W,2.0
YBR097W,2.0
YER033C,2.0
YHR036W,2.0
YMR192W,2.0
YPL103C,2.0
YMR155W,2.0
YMR127C,2.0
YMR104C,2.0
YDR323C,2.0
YOR268C,2.0
YOR156C,2.0
YDL028C,2.0
YER187W,2.0
YKL162C,2.0
YER024W,2.0
YGL007C-A,2.0
YMR093W,2.0
YOL136C,2.0
YLR402W,2.0
YNR075W,2.0
YCR075C,2.0
YLR187W,2.0
YBL043W,2.0
YPR084W,2.0
YHR124W,2.0
YPR108W-A,2.0
YPR111W,2.0
YIL163C,2.0
YBR272C,2.0
YBR270C,2.0
YNL116W,2.0
YGR256W,2.0
YHR184W,2.0
YPR119W,2.0
YLR125W,2.0
YNL126W,2.0
YDR438W,2.0
YDL218W,2.0
YJL127W-A,2.0
YBR182C,2.0
YHL012W,2.0
YPR141C,2.0
YHR153C,2.0
YHL022C,2.0
YGR287C,2.0
YOL160W,2.0
YAR047C,2.0
YNL273W,2.0
YHR071C-A,2.0
YOL138C,2.0
YDL144C,2.0
YOL140W,2.0
YDR470C,2.0
YJL137C,2.0
YCL001W-A,2.0
YNR019W,2.0
YDL209C,2.16992500144231
YLR084C,2.16992500144231
YGL085W,2.16992500144231
YDR143C,2.16992500144231
YBR141C,2.16992500144231
YMR166C,2.16992500144231
YKL090W,2.16992500144231
YAL024C,2.16992500144231
YBR128C,2.16992500144231
YOR025W,2.16992500144231
YCL010C,2.16992500144231
YJR140C,2.16992500144231
YGR288W,2.16992500144231
YNL119W,2.16992500144231
YIR018C-A,2.16992500144231
YML027W,2.16992500144231
YBR113W,2.16992500144231
YGL057C,2.16992500144231
YHR155W,2.16992500144231
YLR415C,2.16992500144231
YBR196C-B,2.16992500144231
YKL220C,2.16992500144231
YMR147W,2.16992500144231
YCL036W,2.16992500144231
YLR424W,2.16992500144231
YKR019C,2.16992500144231
YPR145C-A,2.16992500144231
YDR123C,2.16992500144231
YPR189W,2.16992500144231
YER106W,2.16992500144231
YBR228W,2.16992500144231
YPL029W,2.16992500144231
YDR536W,2.16992500144231
YPL272C,2.16992500144231
YOR318C,2.16992500144231
YNL162W-A,2.16992500144231
YIR019C,2.16992500144231
YNR058W,2.16992500144231
YPL194W,2.16992500144231
YPL242C,2.16992500144231
YHR202W,2.16992500144231
YMR227C,2.16992500144231
YDR014W,2.16992500144231
YML007C-A,2.32192809488736
YLR407W,2.32192809488736
YCR095W-A,2.32192809488736
YDL216C,2.32192809488736
YLL056C,2.32192809488736
YOR032C,2.32192809488736
YLL060C,2.32192809488736
YPL191C,2.32192809488736
YKL086W,2.32192809488736
YLR024C,2.32192809488736
YDR503C,2.32192809488736
YER076W-A,2.32192809488736
YGL201C,2.32192809488736
YDR223W,2.32192809488736
YLR436C,2.32192809488736
YER113C,2.32192809488736
YPL269W,2.32192809488736
YKR104W,2.32192809488736
YLL025W,2.32192809488736
YPL258C,2.32192809488736
YER104W,2.32192809488736
YLL018C-A,2.32192809488736
YKR052C,2.32192809488736
YPL248C,2.32192809488736
YPL247C,2.32192809488736
YOR390W,2.32192809488736
YML091C,2.32192809488736
YLR010C,2.32192809488736
YPL172C,2.32192809488736
YHR002W,2.32192809488736
YML076C,2.32192809488736
YCR032W,2.32192809488736
YDL224C,2.32192809488736
YNL299W,2.32192809488736
YGL216W,2.32192809488736
YIL139C,2.32192809488736
YNR075C-A,2.32192809488736
YGR269W,2.32192809488736
YNL234W,2.32192809488736
YDR205W,2.32192809488736
YCL014W,2.32192809488736
YIL073C,2.32192809488736
YLR294C,2.32192809488736
YAL032C,2.32192809488736
YJL206C,2.32192809488736
YOL067C,2.32192809488736
YJR021C,2.32192809488736
YMR253C,2.32192809488736
YDL102W,2.32192809488736
YDL156W,2.32192809488736
YHR210C,2.32192809488736
YDL154W,2.32192809488736
YLR053C,2.32192809488736
YPR066W,2.32192809488736
YIL001W,2.32192809488736
YLR267W,2.32192809488736
YIL006W,2.32192809488736
YPR014C,2.32192809488736
YOL104C,2.32192809488736
YOR178C,2.32192809488736
YLR098C,2.32192809488736
YOR193W,2.32192809488736
YOL132W,2.32192809488736
YOR191W,2.32192809488736
YBR072C-A,2.32192809488736
YPR046W,2.32192809488736
YBR132C,2.32192809488736
YGL018C,2.32192809488736
YPL040C,2.32192809488736
YDL176W,2.32192809488736
YPL161C,2.32192809488736
YPL159C,2.32192809488736
YER040W,2.32192809488736
YKL105C,2.32192809488736
YDR282C,2.32192809488736
YPL147W,2.32192809488736
YIL120W,2.32192809488736
YHR168W,2.32192809488736
