Systematic Name,Protein Abundance_D1
YGR071C,847.381433110643
YPR106W,848.512875415433
YDL105W,849.683170850342
YGR016W,851.437681001407
YOL017W,853.932605626797
YKL174C,855.373227713167
YGR221C,856.67619171462
YDR451C,856.931599610731
YIL156W,857.089477252598
YGL175C,858.780653439411
YHL010C,861.353803925991
YHR156C,862.848309882473
YNL202W,863.334217069516
YPL092W,865.395241907876
YPL002C,865.913301349565
YLR094C,866.347138157498
YDR350C,867.186239446445
YPL029W,868.483090336753
YLR283W,869.375402926678
YDL107W,870.735749991023
YDR213W,871.659990364608
YBR255W,872.612715074097
YDR142C,872.618179570087
YAL040C,873.0
YHL016C,873.32187138038
YDR130C,875.828102607469
YLR431C,879.058576785559
YMR251W,880.74700276817
YKL188C,881.0
YBL113C,881.266099124769
YDR184C,881.433783273464
YDR466W,881.83956667386
YDR503C,885.558022057456
YKR004C,886.062953924735
YBR274W,887.882722380493
YBL091C-A,892.277724169125
YKL163W,894.972448883007
YKL185W,896.37302290162
YHL050C,896.646629679927
YGR059W,898.0
YNL254C,898.168224562324
YLR099C,899.910707397853
YNR066C,900.191429116909
YOR258W,901.997724247031
YIL101C,902.604425986075
YPL209C,902.719107808884
YIL151C,903.46413133212
YPL133C,904.059863002596
YHL032C,905.416868910111
YBR250W,907.0
YJR079W,907.0
YOR144C,908.645154905795
YDR318W,909.033903742547
YKL011C,909.09746363109
YGR146C,909.429634395344
YGR041W,910.27915124693
YHR152W,918.754991058746
YMR280C,918.906293178202
YHR120W,918.962204609677
YCR014C,919.989895148874
YFL046W,920.457987244457
YPR164W,920.540326793474
YPR134W,922.3243806708
YIL071C,923.517067509308
YIL054W,924.806388623477
YBR153W,925.288754356897
YLR035C,927.117399059765
YGR101W,927.422744234175
YER173W,927.976095533793
YDR181C,928.22217463401
YLR105C,928.556847247465
YFR045W,928.830280539837
YJR127C,929.26316743944
YOR372C,929.334834218768
YOR330C,929.370238066207
YNL054W,931.169944687096
YOR386W,931.495078446657
YGR057C,931.529040182902
YIL055C,932.645992457342
YHR050W,933.362991416852
YDR270W,935.026723602106
YPL156C,935.967900648486
YAR018C,938.843454017392
YOL009C,939.577363842947
YJL127C,940.729485859666
YAL056W,941.467832959724
YJL103C,941.771971475517
YPR083W,944.074972246252
YHR204W,944.189074011995
YCR032W,944.644889830271
YKL187C,946.0
YKL107W,946.762178836917
YMR001C,946.861341872786
YHR182W,946.868076277942
YBR220C,947.739870376401
YFL025C,948.775232682252
YOR034C,950.553434771821
YFL003C,951.56297281884
YER167W,951.57093008108
YOR380W,951.992456889777
YNL092W,952.0
YAL009W,953.220642692081
YJL105W,955.138454499937
YEL006W,955.20335524344
YKL124W,955.767898975555
YGR077C,956.15382151712
YJL099W,956.775323770907
YMR162C,957.708469028615
YOR022C,958.260043750035
YGL114W,959.370605146021
YGL143C,960.447186662318
YLR360W,964.441801245667
YOL008W,965.487325671271
YAR035W,965.884404565955
YDR113C,968.041953976428
YLR377C,970.5
YNL078W,972.314483455745
YDR058C,975.208722821946
YDL233W,975.635917677525
YLR408C,976.472565051703
YGR098C,977.013760214181
YOL082W,977.488034747498
YLR128W,977.616375748819
YMR127C,977.698438722851
YMR198W,979.455620643123
YPR006C,980.138046912351
YER137C,980.937968767544
YOL112W,981.097281928319
YKR019C,982.330042588879
YMR114C,984.733949240524
YMR224C,985.661287399497
YLR097C,990.735299159523
YDL033C,991.494552978315
YML109W,992.396682659696
YFL066C,994.180032213233
YDR436W,998.249188478256
YJR140C,998.46681097293
YIL046W,999.459632868964
YOR388C,999.634639517158
YGR170W,1000.60913539061
YOR093C,1001.57493301671
YGL002W,1004.58776027082
YJL126W,1005.90748898268
YJL095W,1006.89899199822
YDR159W,1007.36439816881
YGL154C,1007.68936132482
YPL168W,1009.21848496239
YLR278C,1009.86939348381
YIR030C,1010.80093917912
YDL206W,1011.21756142387
YOL138C,1013.97766169135
YIR042C,1014.41627887833
YJL003W,1014.76470308015
YGL236C,1016.05105700062
YPL076W,1016.09823697201
YFR026C,1016.24006538603
YER162C,1016.79830424116
YJR035W,1017.97294381849
YAL067C,1021.0
YJL047C,1021.15794574238
YJR015W,1021.76303803962
YDR349C,1022.75284124009
YPR101W,1025.58378195063
YMR234W,1027.57145686459
YDR351W,1028.42791481127
YCL049C,1028.6757216134
YGR004W,1028.71321377479
Q0060,1029.0
YDR118W,1033.3525379866
YPR116W,1035.0592402331
YNL159C,1035.31114831731
YOL084W,1035.94015878474
YHR067W,1036.08586826609
YDR291W,1041.02605339931
YCL063W,1041.26609912477
YGL124C,1041.31367227784
YGL021W,1041.87617466643
YMR319C,1042.0273291347
YKL033W,1042.32867533942
YGL208W,1044.59811283609
YPL074W,1045.0346317811
YGR099W,1045.72547257831
YHR166C,1049.05989405179
YMR294W,1049.68247306295
YDR217C,1049.81832154341
YDL114W,1050.900089056
YKL201C,1050.90924799017
YOL110W,1051.07447022886
YOR390W,1052.6608593343
YHL019C,1052.91488711539
YDR514C,1054.88200932161
YNR070W,1055.5
YHL026C,1056.65358467681
YBR044C,1057.91935630383
YLR371W,1058.61656706019
YHR155W,1058.70305600485
YJR078W,1060.03513070024
YDL179W,1060.66786296456
YHR171W,1061.39506467281
YLR265C,1062.96157085115
YHR202W,1066.80245407628
YCL038C,1068.169652665
YER064C,1068.52073133374
YJR052W,1069.39566361492
YGR224W,1070.65038199534
YLR137W,1071.36514690822
YDR444W,1071.84521827667
YJR098C,1071.92076418057
YDR334W,1072.2760439996
YDL057W,1072.49288512929
YPR198W,1072.50803081726
YMR204C,1073.3278496545
YPL279C,1073.80245890401
YNL234W,1074.70948199148
YGR238C,1075.22241618258
Q0085,1076.79945645364
YOR328W,1078.0300366703
YDR538W,1078.18281403595
YGR223C,1078.26820285282
YNL242W,1078.5762075178
YDL146W,1079.17678738122
YJR053W,1079.49985246
YML002W,1079.7029930874
YCR038C,1080.37524652106
YAL034C,1081.92466301621
YKR017C,1082.00765898025
YMR068W,1083.01147207372
YCR061W,1083.12978375066
YAL047C,1083.44741058297
YJR135C,1085.21885533428
YDL155W,1085.3434736635
YCL051W,1085.76653935099
YBR066C,1086.47989526931
YHR194W,1088.90028790231
YIL097W,1090.04262175624
YLR121C,1090.34949285025
YNR020C,1092.95197110469
YOL089C,1094.53707578256
YIR005W,1098.42565413911
YHR075C,1098.97751882873
YJR129C,1100.01647558374
YDL238C,1100.34206911361
YBR239C,1100.36086832526
YMR213W,1101.45069898627
YOR097C,1104.00213429739
YJR154W,1104.61691200495
YDR076W,1104.82134577
YGR154C,1105.37250518535
YIL147C,1105.43104578114
YPL269W,1105.7976954966
YMR306W,1106.0
YPL089C,1106.86906297336
YDR275W,1107.89890543133
YNR041C,1108.05187110391
YGL160W,1108.62091293568
YGR006W,1109.85190709485
YNL077W,1110.09317515223
YKL043W,1111.8008504194
YIL122W,1115.89108566065
YOL100W,1116.21992168364
YJR138W,1116.44919706693
YOL096C,1117.75094134115
YJL013C,1118.46111471433
YAL011W,1118.7386457866
YAL031C,1121.67743776713
YDR207C,1122.04689263008
YLL055W,1122.28654870712
YNL094W,1123.68481833215
YMR185W,1124.31260903806
YGR003W,1124.48233360526
YAR031W,1124.74546614746
YML122C,1125.99178824091
YKR005C,1125.99178824091
YNR011C,1126.58309083822
YBL071C,1127.65268427162
YOR073W,1128.0
YER098W,1128.04765154805
YHL043W,1128.48331231414
YCR040W,1129.31406030318
YCR045C,1129.31406030318
YPR022C,1129.39945952069
YDL139C,1130.08262384602
YER129W,1130.11220236703
YDL218W,1130.14492818512
YNL196C,1130.14492818512
YNR055C,1130.92370528877
YNL023C,1131.66965916388
YER106W,1131.80702341343
YEL035C,1132.63825065284
YGR131W,1133.46959757119
YMR026C,1133.72999142873
YKR044W,1134.04262331195
YLR266C,1134.30106411512
YDR414C,1134.30106411512
YNL273W,1134.63682071967
YLR233C,1134.79015344864
YDR109C,1134.83739673193
YIL164C,1135.13265023136
YEL057C,1135.13265023136
YGR050C,1135.96435586665
YIL089W,1136.79618096781
YBR019C,1136.79618096781
YKL162C,1137.34315676236
YER180C,1137.62812548172
YBR302C,1137.73609882051
YDL246C,1139.29237253553
YNR072W,1139.29237253553
YPL157W,1139.46091901539
YPR078C,1140.12467496944
YNR060W,1140.95709660413
YEL076C,1140.95709660413
YMR085W,1140.95709660413
YOL026C,1141.95401767841
YBR050C,1142.62229726447
YOL083W,1143.45115906714
YMR279C,1144.28797409434
YIL158W,1144.96411751254
YFL061W,1145.95412667243
YKR063C,1146.2030924557
YGL243W,1146.2544030566
YJL210W,1146.76372614003
YOR030W,1147.62075457827
YKL048C,1147.73860475689
YJL027C,1148.45424664793
YHL006C,1148.45424664793
YDR309C,1148.5481230756
YGR169C,1149.27634115626
YJL222W,1149.29505771232
YKL208W,1149.77547059318
YCR068W,1150.02210967931
YBR228W,1150.12158675891
YLR376C,1150.25708885765
YOR003W,1150.58519395519
YLR464W,1151.78940115026
YDR073W,1152.01466460573
YLR176C,1152.10952340042
YAL037W,1152.62348607058
YBR076W,1152.62348607058
YDR072C,1152.74566868274
YLR318W,1154.29201110001
YPR064W,1155.12645110507
YNL289W,1155.9002395464
YOL015W,1156.40311203397
YLR193C,1156.49791169152
YNL328C,1156.77385685742
YPR199C,1156.79568583617
YBL020W,1156.87293904126
YEL008W,1157.63048045849
YPR071W,1157.82982316172
YBL013W,1158.30722206782
YPL005W,1159.12148592641
YPR046W,1159.23881132584
YNL080C,1160.7794063258
YER066W,1161.80622406795
YNL058C,1162.08058587103
YFL009W,1162.1359965285
YML077W,1162.85355986549
YGL051W,1163.47734678062
YDL170W,1163.68208576536
YDR018C,1165.14894045772
YKL044W,1165.98491377955
YFR012W,1165.98491377955
YHR054C,1166.82100468854
YAR023C,1167.65721313348
YOL068C,1167.67731880292
YKL108W,1167.71027896803
YIR002C,1167.88445074726
YHR134W,1168.49353906321
YMR156C,1169.81717442999
YDR415C,1170.0294812417
YNL195C,1170.04790924118
YDL180W,1170.12336273058
YER011W,1170.89524175096
YHR189W,1171.02559497579
YGR230W,1171.84001660868
YNL279W,1172.67692919681
YPL003W,1173.63334677077
YLR323C,1173.71956837746
YNL136W,1173.76798951421
YER060W,1173.96346295178
YLR131C,1173.98474805862
YLR241W,1175.13824235504
YKR010C,1176.61583535754
YER115C,1176.86324880617
YHL044W,1176.86324880617
YLR456W,1177.14973822111
YHR157W,1178.53859548259
YGL081W,1178.53859548259
YDR114C,1179.37644408268
YOL137W,1179.39267203985
YFR020W,1180.21440945674
YDL169C,1180.21440945674
YDR026C,1180.77999595376
YFR019W,1181.49443464631
YLR070C,1181.89069032528
YGL075C,1182.65849413714
YGR236C,1182.72900571913
YCR097W,1182.72900571913
YML003W,1183.5674376857
YNL047C,1183.60456885861
YPL108W,1184.25358115586
YNR071C,1184.4059861748
YOR378W,1184.4059861748
YOR231W,1185.12536438132
YAL015C,1186.06154084243
YFL012W,1186.08343252007
YDL248W,1186.57085985616
YPR151C,1186.92233027612
YML050W,1187.22167595802
YGL263W,1187.76134435445
YMR265C,1187.835369161
YNL230C,1188.01155993185
YIL056W,1188.32868026597
YOL073C,1189.22734037028
YLL007C,1189.42616952913
YOR213C,1190.19079947383
YNL295W,1190.27634459698
YGR066C,1190.27908402391
YJL223C,1190.27908402391
YAL024C,1191.01002880818
YOR363C,1191.10383936141
YPL147W,1192.0
YJL025W,1192.0
YKR009C,1192.05831450018
YOR114W,1192.797868799
YMR325W,1192.797868799
YJR159W,1192.797868799
YFL058W,1192.797868799
YOL002C,1193.16806096176
YLR125W,1193.87861244888
YPL150W,1196.18599814652
YHR091C,1197.37533033911
YGR217W,1198.4726865508
YDR495C,1199.1346811474
YBL029W,1199.38386849385
YOR156C,1199.72293485876
YMR126C,1200.0
YPL083C,1200.41852397499
YGL034C,1202.04233279474
YGL262W,1202.04233279474
YLR117C,1202.66662842385
YCR008W,1202.94427136675
YHL047C,1204.0
YLR460C,1204.38057916906
YER135C,1205.4074224403
YOR219C,1205.81481947472
YNR031C,1207.01624229198
YNL042W,1207.11686378382
YDR209C,1207.93244981349
YGL215W,1208.7743558467
YLR316C,1210.39806811126
YCR085W,1213.82820618063
YCL026C-A,1213.82820618063
YER116C,1214.67091647227
YPL054W,1214.67091647227
YJR107W,1214.67091647227
YDR179C,1215.36993532413
YGL183C,1216.35668110764
YLL053C,1216.35668110764
YCR079W,1216.39314420527
YJR040W,1218.31549780392
YMR262W,1218.39450127202
YAL064W-B,1218.88618746661
YGR153W,1218.88618746661
YJL058C,1220.16912823945
YHL049C,1220.57309741425
YGL036W,1221.2231796919
YLR404W,1221.23312945391
YIL072W,1222.26046481304
YIL045W,1222.29700851964
YBR240C,1225.63657042938
YLR161W,1225.63657042938
YJL205C,1225.83263049191
YBL052C,1226.36647566973
YMR063W,1226.67317485031
YJR094C,1227.32530788141
YMR160W,1227.61286260829
YPL264C,1228.16984760131
YML100W-A,1229.0145012536
YJL077C,1229.0145012536
YIL139C,1229.85926879069
YIR015W,1230.51152588607
YGL168W,1232.39425423558
YDR255C,1232.79475015339
YPR001W,1232.973825662
YJR136C,1233.19783913452
YJR146W,1233.220380667
YOR268C,1235.77582633699
YBR175W,1237.54408636177
YNL211C,1237.65292569491
YDL197C,1239.5
YPL250C,1239.69734008781
YLR037C,1240.85158872063
YGL230C,1240.85158872063
YOR113W,1241.62481728524
YIL002C,1241.65361672737
YPR003C,1242.382819829
YOR284W,1243.3446701918
YOR387C,1243.52291361477
YDR366C,1244.23769540489
YOR192C,1244.23769540489
YMR244W,1244.23769540489
YOR166C,1244.78303728177
YLR307W,1245.084504783
YDR065W,1245.14630986435
YGL192W,1245.93142715041
YOL025W,1246.36309397195
YPL282C,1246.77846246045
YHR021W-A,1246.77846246045
YJR108W,1247.62561066648
YBL008W,1248.17780446925
YIR010W,1248.56886485961
YHR079C-A,1249.3202455802
YHR185C,1249.3202455802
YNL187W,1250.16773219484
YER111C,1250.41648417312
YOR305W,1250.59134954192
YLR297W,1250.59917154158
YGL258W-A,1251.8630435074
YDL138W,1251.8630435074
YKR022C,1252.51460558356
YPR122W,1252.53896865375
YDR317W,1253.5588052885
YLR263W,1255.25501716771
YDR009W,1256.09122366557
YDR440W,1256.28988979968
YGL059W,1256.61077083523
YER170W,1257.29439185747
YFL064C,1258.64878974242
YMR283C,1260.05587008465
YMR036C,1260.95918983471
YPL267W,1261.80463869341
YNL332W,1262.04435828237
YHR159W,1262.59030912113
YER096W,1263.0
YMR138W,1264.17695060299
YDR014W,1265.31416507003
YCL008C,1265.39487197605
YML076C,1265.9308820362
YNL167C,1266.1133769768
YMR273C,1266.66451861388
YBR027C,1267.14107210345
YKL168C,1268.02087959394
YGR134W,1268.15539907243
YDR416W,1270.08918571012
YOR127W,1270.25963195083
YNR009W,1270.34522550122
YLR013W,1270.54111772739
YKR054C,1270.97725321866
YFL065C,1272.24181036996
YAL051W,1272.35427173897
YAR019C,1272.77745934958
YML083C,1274.7936856016
YHL005C,1274.7936856016
YLR204W,1274.7936856016
YBR063C,1275.64453350257
YLL058W,1276.36558246446
