Translation Efficiency Low,Translation Efficiency High,Translation Efficiency Mid
YJR141W,YGR192C,YFR013W
YPL216W,YKR068C,YMR167W
YDL138W,YMR214W,YOR153W
YHR091C,YCL043C,YPR056W
YDL194W,YHR005C-A,YBR225W
YKL217W,YMR266W,YOR134W
YKL015W,YIL137C,YDR449C
YHL016C,YNR026C,YDR528W
YDR197W,YBL045C,YOL002C
YGR201C,YGR055W,YMR223W
YAL056W,YOL093W,YML111W
YHR157W,YLR008C,YHR096C
YIL151C,YMR037C,YGR225W
YOR380W,YPL145C,YDL104C
YNL128W,YKL145W,YGR032W
YOL052C-A,YAL049C,YKL134C
YCR032W,YNL129W,YML049C
YHR078W,YDL002C,YDR185C
YOR030W,YPR094W,YGR249W
YML116W,YDR330W,YNL277W
YLR013W,YDR237W,YDR436W
YLR443W,YLR420W,YKL108W
YHR134W,YMR195W,YGL071W
YJL129C,YLR185W,YLR079W
YGR088W,YJR025C,YBR023C
YDL146W,YBR177C,YGR143W
YLL054C,YBR046C,YKL008C
YDL170W,YER049W,YDL150W
YCR045C,YNL085W,YIL009C-A
YCL004W,YML036W,YNL103W
YBL049W,YLL026W,YOL065C
YLR376C,YDR041W,YLR114C
YJL044C,YER036C,YCR092C
YPR013C,YER094C,YGL104C
YIL092W,YML123C,YPL195W
YLL049W,YOR176W,YNL236W
YIL085C,YDR031W,YDR452W
YOR152C,YLR048W,YML097C
YDR522C,YMR006C,YHR207C
YNL029C,YPL262W,YAL047C
YHR022C,YHR104W,YKL124W
YAR035W,YDL219W,YBR151W
YMR270C,YDL225W,YOR356W
YJR061W,YLR346C,YER163C
YDR444W,YGL127C,YFR040W
YFR032C-B,YOR202W,YGL081W
YBR223C,YOR243C,YCL049C
YLR273C,YCL059C,YOR258W
YPR068C,YJR086W,YGL160W
YOR231W,YNR022C,YNL059C
YLR353W,YOR195W,YPL020C
YNL194C,YOR077W,YCL026C-B
YBR228W,YJL144W,YLR352W
YFR032C,YDR308C,YLR399C
YMR053C,YPR159W,YKL174C
YOR154W,YDR171W,YGL151W
YKL098W,YIL074C,YDR279W
YPR157W,YNL312W,YJL109C
YNL024C,YDR190C,YGR104C
YOR003W,YCL057C-A,YCR027C
YEL006W,YBL087C,YGR281W
YGL085W,YMR208W,YPR079W
YCL036W,YNL305C,YKL074C
YCL056C,YLR354C,YNL192W
YPL230W,YJL068C,YLR019W
YLR312C,YKL095W,YDR021W
YJL057C,YNL197C,YDL230W
YMR190C,YPR051W,YBR013C
YDR009W,YGL122C,YDR138W
YER076C,YJL033W,YNL136W
YJR008W,YLR065C,YGL091C
YPL165C,YKL122C,YGL185C
YPL042C,YFL017C,YBR095C
YOR019W,YIL140W,YNL076W
YPL022W,YJL124C,YDR090C
YMR020W,YDL102W,YLR033W
YPL214C,YMR188C,YOL119C
YJR120W,YPL143W,YFL062W
YOL140W,YKR092C,YFR007W
YHR071W,YLR344W,YDL091C
YBR136W,YDR188W,YFL002C
YDR065W,YOR341W,YBR057C
YPL008W,YDR233C,YNR034W-A
YOL001W,YMR120C,YKL028W
YDR420W,YPL046C,YDL044C
YDL223C,YDR451C,YMR294W
YIL146C,YML048W,YIL136W
YLR035C,YJL214W,YDR245W
YDR034W-B,YBR242W,YJL082W
YJR039W,YOL127W,YPL233W
YPL052W,YMR031C,YHR018C
YER132C,YER071C,YJL155C
YJR130C,YKL157W,YOR219C
YOR026W,YPL099C,YPL018W
YOL128C,YNL263C,YJR091C
YNR045W,YAR015W,YLR211C
YPL151C,YOL012C,YBR280C
YML043C,YBR186W,YDR200C
YCR037C,YNL081C,YOR035C
YOR303W,YOL038W,YLL019C
YJR112W-A,YNR034W,YDR473C
YLR098C,YKL006W,YMR033W
YKL171W,YDR016C,YPL158C
YPL095C,YNL229C,YDR072C
YJL037W,YBR254C,YGR233C
YER038C,YER027C,YBL105C
YCR023C,YJL104W,YLR218C
YDR179W-A,YHR116W,YJR111C
YDR499W,YBR022W,YBR004C
YLR251W,YLR304C,YBR157C
YLL051C,YEL013W,YKL151C
YNL249C,YPL189C-A,YPL183C
YHR004C,YHR181W,YNL330C
YOR269W,YMR315W,YDL169C
YJL023C,YBR233W-A,YDR049W
YMR187C,YJL079C,YOL025W
YFL027C,YGR161C,YIL155C
YNL080C,YBR282W,YOR097C
YLR127C,YPR017C,YFL001W
YKR034W,YGR001C,YKR019C
YNR057C,YNL141W,YML034W
YHR151C,YLR335W,YDR202C
YNL335W,YOR224C,YOL066C
YBR237W,YBR089C-A,YDR006C
YMR299C,YNR009W,YDR227W
YMR265C,YJL011C,YOR289W
YPR009W,YMR049C,YDR398W
YBR274W,YNL121C,YKL105C
YNR071C,YBR263W,YPL180W
YCL002C,YIL133C,YJR137C
YGR057C,YNL153C,YPR173C
YOR043W,YLR275W,YGR002C
YOL103W,YOL061W,YNL186W
YHR120W,YGL226W,YPL060W
YPR109W,YDR519W,YOR104W
YMR034C,YPL265W,YBR002C
YPR031W,YMR183C,YNL004W
YHR177W,YHR010W,YGL223C
YKR036C,YGL244W,YLR401C
YJR115W,YNL015W,YBR119W
YKR064W,YDR461C-A,YMR106C
YOL047C,YBR111C,YOR092W
YDR042C,YIR009W,YLR090W
YJR127C,YHR007C,YPL021W
YMR169C,YCL017C,YBR179C
YIL017C,YFL038C,YHR117W
YOR005C,YEL001C,YNL176C
YNL025C,YFR051C,YJL039C
YGR257C,YMR136W,YDR165W
YDR181C,YJR133W,YOR188W
YHR176W,YAL013W,YPL030W
YIL024C,YDR152W,YBL020W
YKL065W-A,YGL207W,YPL026C
YPR078C,YLR214W,YLR032W
YDR419W,YKL053C-A,YMR140W
YER005W,YCR031C,YNL298W
YIL139C,YLR408C,YLL061W
YBR030W,YFR016C,YOL159C
YKL090W,YER092W,YDR326C
YML100W,YDL082W,YKL129C
YBL066C,YER074W-A,YCL063W
YPL027W,YDR148C,YDL115C
YJL090C,YBR061C,YDL127W
YJR122W,YPL226W,YML072C
YPR057W,YER143W,YAL034W-A
YJL103C,YKL099C,YOL116W
YOR060C,YOR267C,YCR082W
YGR144W,YOL107W,YPL153C
YMR171C,YMR184W,YFL049W
YHR106W,YKL077W,YJR013W
YDR421W,YIL021W,YBR041W
YDR235W,YGL184C,YDR195W
YNR062C,YOR020W-A,YMR204C
YGR170W,YPR052C,YBR069C
YIR021W,YGR128C,YNL035C
YKR044W,YPR101W,YMR213W
YJR021C,YIL157C,YNL202W
YDR536W,YPR102C,YMR115W
YMR026C,YGR264C,YOL089C
YOL132W,YPL004C,YGR016W
YGL144C,YML026C,YER107C
YGR150C,YGR049W,YMR247C
YML107C,YNR019W,YNL005C
YOR062C,YOR251C,YDR267C
YPL066W,YHR026W,YNR011C
YLR097C,YPL078C,YLR419W
YIL166C,YDL064W,YMR239C
YOR064C,YBR085C-A,YMR259C
YMR282C,YGL099W,YNL304W
YLR457C,YIR017C,YHR112C
YIR028W,YHR122W,YDR229W
YLR165C,YLR300W,YLR440C
YHL046C,YCL066W,YHR167W
YDL186W,YGL205W,YKR023W
YKR004C,YOR158W,YBL046W
YLR422W,YPR016C,YGR047C
YBR107C,YHR200W,YHR187W
YHR129C,YDL147W,YDR478W
YNL329C,YPL252C,YCR015C
YLR253W,YCL005W-A,YHR140W
YLR381W,YML085C,YKL159C
YJR054W,YAR002W,YGR163W
YIL071C,YNR050C,YPL101W
YDR318W,YCL048W-A,YHR023W
YIL013C,YGR086C,YLR348C
YIL047C,YER035W,YHR024C
YNL073W,YOR046C,YDR260C
YPR192W,YNL133C,YER154W
YPL175W,YDL053C,YNR053C
YBR158W,YNL178W,YHR149C
YGR015C,YDL208W,YOR264W
YKL107W,YLR186W,YJR113C
YNL018C,YER068W,YJL125C
YOR009W,YCR034W,YFL025C
YHR165C,YPR129W,YFL021W
YGR221C,YDR304C,YLL058W
YGR256W,YNL309W,YPR198W
YGR043C,YCR071C,YMR109W
YKL203C,YDR379C-A,YCR017C
YOL009C,YBR062C,YLR039C
YBR220C,YBL001C,YHR197W
YJR066W,YHR042W,YML075C
YDR109C,YGR234W,YDL056W
YGR216C,YPR172W,YLR113W
YIL002C,YPR028W,YLR064W
YEL005C,YDL192W,YAR014C
YNL257C,YML098W,YOL078W
YDL244W,YJR072C,YGL161C
YFR005C,YBR049C,YOR238W
YPL082C,YKR094C,YOR049C
YML081W,YGL123W,YDL089W
YOR073W,YNL220W,YAL051W
YOL097W-A,YNL231C,YOL020W
YGR171C,YDL092W,YCR011C
YKL201C,YBR084C-A,YER020W
YHR155W,YGL210W,YEL065W
YCR101C,YPL178W,YJL137C
YDR336W,YBR248C,YLR201C
YIR027C,YNR052C,YLR219W
YHR185C,YER148W,YHR040W
YDR364C,YER127W,YAR042W
YDR128W,YOL097C,YML029W
YPR083W,YDL051W,YIR033W
YDL085W,YLR179C,YDR405W
YDR206W,YML055W,YNL290W
YOR033C,YBR106W,YPR097W
YHR131C,YGR282C,YCL008C
YMR258C,YJL050W,YNL093W
YGR238C,YBR115C,YKL106C-A
YOR324C,YOL133W,YLR215C
YMR175W,YHR008C,YJR116W
YAL028W,YGL139W,YNL214W
YLR431C,YPL260W,YPL096C-A
YHL012W,YOR189W,YLR207W
YKL038W,YFL016C,YGR261C
YLR247C,YAL044C,YPR156C
YDR540C,YLR340W,YMR055C
YOR249C,YER074W,YGR125W
YIL046W,YOR128C,YBR065C
YKL033W,YML070W,YHR123W
YIL113W,YDR043C,YBR216C
YGL094C,YGR208W,YMR267W
YGL154C,YBL022C,YGL145W
YER098W,YOL102C,YNR015W
YHR015W,YNL185C,YDL159W
YIL014C-A,YHR039C-A,YNL056W
YOL063C,YNL239W,YBL084C
YJL046W,YGR038W,YGL247W
YNL172W,YPL043W,YKR087C
YMR162C,YBL099W,YOR076C
YHR199C,YOR280C,YEL032W
YKL011C,YDR201W,YER174C
YLR054C,YLR268W,YKL017C
YMR127C,YBL047C,YBR059C
YMR019W,YNL244C,YDL111C
YDR259C,YBR283C,YPL204W
YDR125C,YOR357C,YBR070C
YIL031W,YPR060C,YDR103W
YGL124C,YBL039C,YDL149W
YLR188W,YOR099W,YIL050W
YGL229C,YAL016W,YPL031C
YOL157C,YJL145W,YDR221W
YPL015C,YDL195W,YLR072W
YLR283W,YNR020C,YDL090C
YGR098C,YGR235C,YLR223C
YJL016W,YPL048W,YDL234C
YGL155W,YJL060W,YER111C
YLR099C,YMR099C,YGR210C
YMR244W,YPR112C,YKL027W
YDR523C,YER159C,YHR169W
YBL060W,YOR168W,YDR013W
YPL003W,YER056C,YMR308C
YOR011W,YOR253W,YHL024W
YLR077W,YDL241W,YAL041W
YPR011C,YGL097W,YBR021W
YCR010C,YPL028W,YGR013W
YOR384W,YBL097W,YIL091C
YKL221W,YDR214W,YCR097W
YLR375W,YLR270W,YIL003W
YHR124W,YOR285W,YDR295C
YOR162C,YLR314C,YHR159W
YOR222W,YHR132W-A,YBR211C
YNL295W,YEL046C,YNL062C
YOR363C,YER117W,YPL001W
YER081W,YEL037C,YDR007W
YBR055C,YLR244C,YNL102W
YPR026W,YPL090C,YIL048W
YNL012W,YGL058W,YCL025C
YML131W,YPR165W,YLR001C
YIL014W,YDR529C,YGL039W
YML038C,YPL154C,YLR096W
YJL112W,YOR181W,YHR163W
YDR104C,YBR126C,YJL154C
YGR270W,YJL138C,YDL107W
YPL011C,YFR034C,YNL193W
YDR386W,YJL001W,YKL061W
YDL206W,YOR142W,YMR179W
YDR119W-A,YGR204W,YIL101C
YLL052C,YLR120C,YML015C
YNL011C,YDR381W,YGR112W
YPL248C,YPR069C,YDR066C
YML083C,YBR286W,YNL286W
YCR007C,YNL308C,YPR104C
YGR188C,YNL010W,YNL191W
YLR412W,YEL031W,YML025C
YMR182C,YPL146C,YDR239C
