Translation Efficiency Low,Translation Efficiency High,Translation Efficiency Mid
YPL076W,YBR201C-A,YNL098C
YPR048W,YPR062W,YGR103W
YMR250W,YIL051C,YIR014W
YGR184C,YGL226C-A,YOR241W
YNL164C,YJL130C,YDR222W
YGR110W,YER110C,YDL018C
YNR012W,YPR149W,YOR288C
YBR087W,YOR113W,YKL166C
YPL077C,YNL122C,YBR160W
YHR110W,YCL028W,YOL067C
YKR028W,YIR037W,YBR257W
YJR052W,YDR099W,YHR057C
YGR093W,YOR252W,YOR075W
YDR391C,YGR014W,YBR145W
YER169W,YGR126W,YKR066C
YMR042W,YOL086C,YER059W
YNL008C,YGL080W,YIL094C
YDR093W,YLR068W,YBR281C
YIL121W,YKL192C,YDR434W
YER157W,YJL143W,YKL213C
YDR466W,YLR259C,YLR143W
YIR008C,YBR058C-A,YGL237C
YOR301W,YBR109C,YER010C
YKL064W,YJL158C,YNL116W
YKL092C,YLR134W,YNL183C
YPR114W,YBL051C,YHR135C
YLR024C,YPR042C,YDR060W
YDL025C,YKL096C-B,YMR274C
YPR128C,YGL062W,YOR038C
YJL127C,YOR257W,YBL027W
YOL036W,YHR055C,YDR453C
YPR067W,YBR196C,YDR211W
YBR271W,YDR045C,YPL050C
YOL044W,YNL328C,YGR230W
YNL051W,YLR325C,YOL145C
YKL183W,YPL111W,YIL083C
YFL007W,YJR010C-A,YNL118C
YOL130W,YHR089C,YLR183C
YGL051W,YJL080C,YGL208W
YBL079W,YMR291W,YJR068W
YDR052C,YJR151C,YDR145W
YPL192C,YLR327C,YPR168W
YBR081C,YJL133C-A,YMR067C
YNL267W,YJR009C,YJL019W
YDL113C,YHL018W,YBR093C
YCR095C,YNL145W,YBR096W
YEL029C,YKL054C,YER128W
YIL114C,YGR279C,YPL212C
YJL059W,YMR173W,YPL159C
YDR180W,YLR388W,YFR027W
YIL045W,YBR067C,YLR081W
YDR253C,YNL016W,YIL030C
YBR199W,YER002W,YCR005C
YOR130C,YFR035C,YGL083W
YPL264C,YJR045C,YBR207W
YJR134C,YPL106C,YPL094C
YMR035W,YDR077W,YJR056C
YGR138C,YKL117W,YIR036C
YOR354C,YMR317W,YML120C
YMR224C,YJL159W,YMR134W
YJL102W,YNL007C,YOL094C
YFR033C,YEL034W,YBR210W
YDR338C,YIL008W,YDR179C
YPL259C,YDR150W,YFR006W
YNL242W,YML017W,YIL116W
YPR022C,YLR438C-A,YNR023W
YKL109W,YGR240C,YDR409W
YNL211C,YDL066W,YJR022W
YOR078W,YNL300W,YJR041C
YGL141W,YNL070W,YHR082C
YHR198C,YOR027W,YAL039C
YIL066C,YIL057C,YDR294C
YFL029C,YNL190W,YNL095C
YLL040C,YLR249W,YOR175C
YBR165W,YLR385C,YPR131C
YJL110C,YLR438W,YGR200C
YKL218C,YLR303W,YLR063W
YGR089W,YER125W,YMR233W
YCR018C,YEL073C,YDR083W
YNL106C,Q0250,YER180C-A
YDR440W,YGL206C,YMR292W
YJR119C,YGL009C,YML016C
YAR019C,YLR162W,YMR069W
YOR079C,YMR205C,YKL180W
YFR030W,YDR461W,YHR029C
YNL311C,YPL240C,YDR305C
YML018C,YLL013C,YDR476C
YMR111C,YIL123W,YGL228W
YPR025C,YDR525W-A,YIL117C
YLR228C,YMR186W,YOR156C
YML020W,YLR264C-A,YDR144C
YCL016C,YDL061C,YBR194W
YDR367W,YCR061W,YPL188W
YER172C,YAL005C,YDR270W
YKL139W,YLL024C,YLR333C
YNL091W,YER091C,YER082C
YLR234W,YOR204W,YDR471W
YDR204W,YCL037C,YCR090C
YHL038C,YOR302W,YGR056W
YDR352W,YDL160C,YCL027W
YDR122W,,YOL064C
,,YNL243W
,,YBR104W
,,YGL048C
,,YBR170C
,,YOR039W
,,YDL029W
,,YPL274W
,,YML115C
,,YBR159W
,,YBL040C
,,YGR101W
,,YMR269W
,,YLR209C
,,YMR235C
,,YDR051C
,,YOR056C
,,YML109W
,,YNR049C
,,YKL146W
,,YDR281C
,,YLR384C
,,YDR465C
,,YGL014W
,,YOL124C
,,YNL082W
,,YNL246W
,,YKL033W-A
,,YGL056C
,,YKL068W-A
,,YOR179C
,,YDL086W
,,YLR088W
,,YML056C
,,YIL108W
,,YDL097C
,,YLR387C
,,YAL055W
,,YGR244C
,,YMR193W
,,YBR264C
,,YNL087W
,,YGL019W
,,YOR014W
,,YGL240W
,,YAL053W
,,YFL036W
,,YPR139C
,,YGL098W
,,YHL007C
,,YML095C
,,YDR079W
,,YLL006W
,,YKR002W
,,YMR001C
,,YJL091C
,,YCL009C
,,YDL188C
,,YLR017W
,,YLR315W
,,YOR321W
,,YBR038W
,,YMR304W
,,YOR101W
,,YML012W
,,YJR043C
,,YEL039C
,,YKR082W
,,YLR406C
,,YDR489W
,,YOR126C
,,YNL313C
,,YPR119W
,,YKR090W
,,YBR205W
,,YOR347C
,,YPR082C
,,YEL055C
,,YOR112W
,,YMR121C
,,YLR369W
,,YLR222C
,,YDR496C
,,YIL095W
,,YIL096C
,,YKL104C
,,YMR009W
,,YML110C
,,YEL051W
,,YGL077C
,,YJR083C
,,YMR131C
,,YFR009W
,,YPL241C
,,YGL038C
,,YOR216C
,,YLL022C
,,YMR062C
,,YKL140W
,,YJL177W
,,YBL102W
,,YIL156W-B
,,YFL034C-B
,,YCL064C
,,YML124C
,,YHR074W
,,YFL046W
,,YGR183C
,,YOL090W
,,YJR080C
,,YOR371C
,,YOR270C
,,YMR272C
,,YLR452C
,,YMR138W
,,YGL108C
,,YNL099C
,,YPL263C
,,YGR119C
,,YJL065C
,,YDR107C
,,YOR065W
,,YDR120C
,,YLR195C
,,YLR389C
,,YER123W
,,YMR237W
,,YOR209C
,,YJL062W
,,YJR094C
,,YKR062W
,,YIL131C
,,YER139C
,,YGR206W
,,YPL203W
,,YOR006C
,,YJR073C
,,YGR266W
,,YGL156W
,,YMR124W
,,YDL088C
,,YIR038C
,,YMR219W
,,YDL101C
,,YDR348C
,,YNL322C
,,YGL047W
,,YLL045C
,,YLR084C
,,YPL014W
,,YIL087C
,,YML125C
,,YBL025W
,,YJL116C
,,YPR040W
,,YDR372C
,,YER102W
,,YPL243W
,,YOR221C
,,YAL023C
,,YDR184C
,,YCR065W
,,YMR192W
,,YBL016W
,,YDR506C
,,YDL190C
,,YGL157W
,,YOR326W
,,YBL023C
,,YML057W
,,YHR070W
,,YHR192W
,,YDR381C-A
,,YER170W
,,YDR501W
,,YML035C
,,YJL004C
,,YBR139W
,,YGR141W
,,YGR196C
,,YGL213C
,,YCR057C
,,YLR100W
,,YIL084C
,,YOR260W
,,YOR160W
,,YNL181W
,,YER151C
,,YDL120W
,,YJR065C
,,YGL181W
,,YAL044W-A
,,YJL084C
,,YPL055C
,,YGR174C
,,YCR083W
,,YOL026C
,,YER067W
,,YHL030W
,,YJL176C
,,YGR195W
,,YOR023C
,,YER055C
,,YLR050C
,,YFR008W
,,YDR406W
,,YMR297W
,,YCR046C
,,YDL143W
,,YHR114W
,,YLR154C
,,YOR352W
,,YOL019W
,,YPL009C
,,YDR139C
,,YHR012W
,,YOL021C
,,YOR091W
,,YDL224C
,,YNL021W
,,YGR095C
,,YMR091C
,,YBR024W
,,YDR284C
,,YPL219W
,,YPR174C
,,YIR007W
,,YJL111W
,,YHR065C
,,YCR030C
,,YDR297W
,,YGL125W
,,YJL088W
,,YKR080W
,,YKL113C
,,YKL058W
,,YCR093W
,,YKL029C
,,YHL027W
,,YBR198C
,,YGL089C
,,YKL040C
,,YMR296C
,,YLR274W
,,YKL126W
,,YDR397C
,,YKR026C
,,YOL022C
,,YKL046C
,,YLL028W
,,YHL011C
,,YDL040C
,,YGR178C
,,YDL212W
,,YER080W
,,YFL034C-A
,,YKR008W
,,YOR217W
,,YNR030W
,,YBL098W
,,YOR141C
,,YGL033W
,,YDR088C
,,YEL015W
,,YHL042W
,,YOL027C
,,YGL194C
,,YJL123C
,,YGL172W
,,YDL072C
,,YNL107W
,,YNL097C
,,YOR367W
,,YBR083W
,,YGL173C
,,YOR206W
,,YPL070W
,,YMR149W
,,YNR036C
,,YPR032W
,,YJR002W
,,YGR058W
,,YGR083C
,,YPL107W
,,YDL156W
,,YNR001C
,,YLL018C-A
,,YIL162W
,,YJL149W
,,YPR124W
,,YOR066W
,,YHR001W
,,YDL198C
,,YKL175W
,,YKR045C
,,YPR191W
,,YLR262C-A
,,YPL108W
,,YPL232W
,,YAL046C
,,YBR052C
,,YOL144W
,,YHR141C
,,YPL256C
,,YMR278W
,,YGL061C
,,YMR312W
,,YLR205C
,,YDR299W
,,YMR125W
,,YAL030W
,,YEL044W
,,YBR053C
,,YPL054W
,,YEL038W
,,YOR124C
,,YNL274C
,,YPL051W
,,YKL068W
,,YGL209W
,,YOR165W
,,YOR171C
,,YMR194W
,,YNL241C
,,YDL130W
,,YJL128C
,,YKR071C
,,YMR144W
,,YJR064W
,,YIL105C
,,YPL213W
,,YOR122C
,,YKR048C
,,YLR276C
,,YPL019C
,,YDR183W
,,YKL025C
,,YJL076W
,,YLR121C
,,YEL066W
,,YDL005C
,,YAL010C
,,YER095W
,,YER083C
,,YBR227C
,,YDR408C
,,YPR004C
,,YDR266C
,,YCL012C
,,YDR324C
,,YER124C
,,YLR093C
,,YNL265C
,,YGR132C
,,YNR010W
,,YGR231C
,,YIR026C
,,YNL219C
,,YKL065C
,,YBR108W
,,YIR001C
,,YKL069W
,,YPR135W
,,YKR007W
,,YGR084C
,,YOL135C
,,YGL076C
,,YDR508C
,,YAR027W
,,YDL031W
,,YCL033C
,,YPL237W
,,YOR308C
,,YFR024C-A
,,YJR057W
,,YHR094C
,,YBR247C
,,YFR044C
,,YPR010C
,,YDL175C
,,YLR257W
,,YDL085C-A
,,YDR244W
,,YDR075W
,,YBR112C
,,YLR028C
,,YNL306W
,,YDR296W
,,YIR004W
,,YGL060W
,,YKL039W
,,YDR500C
,,YGR148C
,,YML060W
,,YHR037W
,,YJR055W
,,YKR083C
,,YKR075C
,,YMR152W
,,YMR200W
,,YJL203W
,,YBL036C
,,YGR169C-A
,,YDL112W
,,YMR147W
,,YML052W
,,YHR113W
,,YHR206W
,,YML024W
,,YLR433C
,,YMR001C-A
,,YDL182W
,,YJR074W
,,YER026C
,,YMR202W
,,YMR255W
,,YDR365C
,,YLR393W
,,YKL007W
,,YDR534C
,,YDL110C
,,YFR031C-A
,,YLR172C
,,YGL200C
,,YIL076W
,,YDR427W
,,YMR070W
,,YER122C
,,YMR047C
,,YJL208C
,,YPL206C
,,YOL126C
,,YGL001C
,,YGR267C
,,YER040W
,,YOR187W
,,YPR100W
,,YOR281C
,,YPR107C
,,YKL209C
,,YDR161W
,,YLR187W
,,YOR271C
,,YDR507C
,,YLR418C
,,YDL178W
,,YKR060W
,,YER182W
,,YLR299W
,,YER070W
,,YMR241W
,,YGR019W
,,YDR246W
,,YJR058C
,,YGR106C
,,YOR297C
,,YCL045C
,,YBR233W
,,YBR058C
,,YMR318C
,,YOL031C
,,YHR063C
,,YJR144W
,,YNL162W-A
,,YNL323W
,,YNL173C
,,YKR006C
,,YBR231C
,,YER064C
,,YHL004W
,,YEL042W
,,YLR285W
,,YCR043C
,,YER073W
,,YER023W
,,YML013W
,,YER101C
,,YER088C
,,YLR312W-A
,,YIL036W
,,YCR077C
,,YMR300C
,,YBR036C
,,YHR203C
,,YNR037C
,,YBR191W
,,YJL157C
,,YLR002C
,,YBR054W
,,YKL002W
,,YER175W-A
,,YHR016C
,,YDR300C
,,YLR148W
,,YKL185W
,,YOL108C
,,YBR296C
,,YBR215W
,,YDL164C
,,YGL232W
,,YJR099W
,,YLR089C
,,YNL115C
,,YKL195W
,,YMR015C
,,YGR286C
,,YBL059W
,,YBL007C
,,YLR356W
,,YDR117C
,,YMR142C
,,YCL057W
,,YEL063C
,,YDR192C
,,YNL001W
,,YMR074C
,,YNL149C
,,YFR047C
,,YDR182W
,,YGR245C
,,YJL136C
,,YJL097W
,,YPL199C
,,YDR079C-A
,,YHR025W
,,YNL168C
,,YKR046C
,,YOR362C
,,YMR016C
,,YDR477W
,,YMR143W
,,YOR223W
,,YOR272W
,,YML011C
,,YPL273W
,,YPR036W
,,YLR439W
,,YBL038W
,,YGR275W
,,YPL217C
,,YPR072W
,,YGL178W
,,YDR163W
,,YLR245C
,,YMR225C
,,YGL037C
,,YJL140W
,,YOR114W
,,YKL190W
