go_c,count,Systematic Name
Golgi apparatus,257,"['YAL002W', 'YAL007C', 'YAL026C', 'YAL042W', 'YAR002C-A', 'YAR033W', 'YAR042W', 'YBL017C', 'YBL069W', 'YBL102W', 'YBR014C', 'YBR015C', 'YBR080C', 'YBR097W', 'YBR164C', 'YBR187W', 'YBR199W', 'YBR205W', 'YBR254C', 'YBR288C', 'YBR290W', 'YCL001W', 'YCL057W', 'YCR043C', 'YCR067C', 'YCR094W', 'YCR100C', 'YDL010W', 'YDL018C', 'YDL058W', 'YDL099W', 'YDL100C', 'YDL121C', 'YDL137W', 'YDL145C', 'YDL149W', 'YDL192W', 'YDL226C', 'YDR027C', 'YDR072C', 'YDR084C', 'YDR100W', 'YDR108W', 'YDR126W', 'YDR137W', 'YDR141C', 'YDR170C', 'YDR205W', 'YDR233C', 'YDR238C', 'YDR245W', 'YDR246W', 'YDR264C', 'YDR270W', 'YDR351W', 'YDR358W', 'YDR367W', 'YDR372C', 'YDR407C', 'YDR414C', 'YDR459C', 'YDR468C', 'YDR472W', 'YDR483W', 'YDR484W', 'YDR503C', 'YDR517W', 'YEL036C', 'YEL042W', 'YEL048C', 'YER001W', 'YER005W', 'YER031C', 'YER039C', 'YER074W-A', 'YER083C', 'YER113C', 'YER122C', 'YER125W', 'YER157W', 'YER166W', 'YFL017C', 'YFL034W', 'YFL038C', 'YFL048C', 'YFR051C', 'YGL002W', 'YGL005C', 'YGL020C', 'YGL038C', 'YGL051W', 'YGL054C', 'YGL137W', 'YGL161C', 'YGL167C', 'YGL198W', 'YGL200C', 'YGL203C', 'YGL210W', 'YGL223C', 'YGL225W', 'YGL257C', 'YGR120C', 'YGR127W', 'YGR166W', 'YGR170W', 'YGR172C', 'YGR209C', 'YGR247W', 'YGR261C', 'YHL017W', 'YHL019C', 'YHL031C', 'YHR098C', 'YHR103W', 'YHR108W', 'YHR110W', 'YHR123W', 'YHR181W', 'YIL004C', 'YIL014W', 'YIL041W', 'YIL044C', 'YIL047C', 'YIL048W', 'YIL076W', 'YIL085C', 'YIL109C', 'YIL173W', 'YJL004C', 'YJL024C', 'YJL029C', 'YJL094C', 'YJL099W', 'YJL123C', 'YJL139C', 'YJL178C', 'YJL183W', 'YJL186W', 'YJL193W', 'YJL204C', 'YJL207C', 'YJL222W', 'YJR040W', 'YJR075W', 'YJR125C', 'YJR134C', 'YKL004W', 'YKL006C-A', 'YKL034W', 'YKL039W', 'YKL063C', 'YKL077W', 'YKL165C', 'YKL174C', 'YKL179C', 'YKL196C', 'YKL201C', 'YKL209C', 'YKL212W', 'YKR020W', 'YKR027W', 'YKR030W', 'YKR061W', 'YKR068C', 'YKR088C', 'YLL040C', 'YLR026C', 'YLR039C', 'YLR043C', 'YLR078C', 'YLR080W', 'YLR170C', 'YLR220W', 'YLR240W', 'YLR242C', 'YLR246W', 'YLR260W', 'YLR262C', 'YLR268W', 'YLR309C', 'YLR330W', 'YLR360W', 'YML012W', 'YML038C', 'YML067C', 'YML071C', 'YML077W', 'YML115C', 'YMR010W', 'YMR054W', 'YMR071C', 'YMR079W', 'YMR162C', 'YMR197C', 'YMR218C', 'YMR237W', 'YMR292W', 'YNL024C-A', 'YNL029C', 'YNL041C', 'YNL044W', 'YNL049C', 'YNL051W', 'YNL130C', 'YNL183C', 'YNL238W', 'YNL263C', 'YNL287W', 'YNL297C', 'YNL323W', 'YNL326C', 'YNR026C', 'YNR048W', 'YNR059W', 'YNR065C', 'YNR066C', 'YOL003C', 'YOL018C', 'YOL107W', 'YOL137W', 'YOR016C', 'YOR034C', 'YOR036W', 'YOR069W', 'YOR070C', 'YOR079C', 'YOR094W', 'YOR099W', 'YOR115C', 'YOR171C', 'YOR216C', 'YOR299W', 'YOR307C', 'YOR320C', 'YOR322C', 'YOR357C', 'YPL010W', 'YPL050C', 'YPL051W', 'YPL053C', 'YPL145C', 'YPL195W', 'YPL204W', 'YPL218W', 'YPL236C', 'YPL246C', 'YPR028W', 'YPR029C', 'YPR079W', 'YPR089W', 'YPR105C', 'YPR109W', 'YPR113W', 'YPR159W', 'YPR165W', 'YPR181C']"
Golgi cis cisterna,6,"['YEL022W', 'YEL036C', 'YGL038C', 'YJR031C', 'YMR052W', 'YMR292W']"
Golgi cisterna,1,['YDR372C']
Golgi cisterna membrane,2,"['YDR372C', 'YKL004W']"
Golgi lumen,4,"['YBR014C', 'YDL010W', 'YKL077W', 'YOR216C']"
Golgi medial cisterna,7,"['YBR187W', 'YDR372C', 'YHL031C', 'YJR040W', 'YKL212W', 'YLR436C', 'YOR320C']"
Golgi membrane,138,"['YAL042W', 'YAR042W', 'YBL102W', 'YBR015C', 'YBR187W', 'YCL001W', 'YCR067C', 'YDL058W', 'YDL121C', 'YDL145C', 'YDL149W', 'YDR072C', 'YDR084C', 'YDR100W', 'YDR137W', 'YDR141C', 'YDR189W', 'YDR238C', 'YDR245W', 'YDR264C', 'YDR367W', 'YDR372C', 'YDR373W', 'YDR483W', 'YDR503C', 'YDR517W', 'YEL036C', 'YEL042W', 'YER001W', 'YER005W', 'YER031C', 'YER039C', 'YER074W-A', 'YER083C', 'YER113C', 'YER122C', 'YER157W', 'YFL034W', 'YFL038C', 'YFL048C', 'YFR051C', 'YGL005C', 'YGL020C', 'YGL038C', 'YGL054C', 'YGL095C', 'YGL137W', 'YGL167C', 'YGL198W', 'YGL200C', 'YGL210W', 'YGL223C', 'YGL225W', 'YGL257C', 'YGR120C', 'YGR170W', 'YGR172C', 'YGR209C', 'YHL019C', 'YHL031C', 'YHR098C', 'YHR123W', 'YIL004C', 'YIL014W', 'YIL041W', 'YIL048W', 'YIL076W', 'YIL109C', 'YJL004C', 'YJL139C', 'YJL178C', 'YJL183W', 'YJR040W', 'YJR066W', 'YKL006C-A', 'YKL034W', 'YKL039W', 'YKL165C', 'YKL174C', 'YKL179C', 'YKL212W', 'YKR030W', 'YKR044W', 'YKR061W', 'YKR088C', 'YLR026C', 'YLR039C', 'YLR043C', 'YLR057W', 'YLR078C', 'YLR080W', 'YLR220W', 'YLR242C', 'YLR260W', 'YLR268W', 'YLR309C', 'YML012W', 'YML038C', 'YML067C', 'YML071C', 'YML115C', 'YMR010W', 'YMR054W', 'YMR071C', 'YMR079W', 'YMR197C', 'YMR292W', 'YNL006W', 'YNL024C-A', 'YNL041C', 'YNL044W', 'YNL049C', 'YNL051W', 'YNL204C', 'YNL263C', 'YNL287W', 'YNL297C', 'YOL107W', 'YOR034C', 'YOR069W', 'YOR079C', 'YOR099W', 'YOR171C', 'YOR216C', 'YOR320C', 'YOR357C', 'YPL010W', 'YPL050C', 'YPL145C', 'YPL218W', 'YPL246C', 'YPR028W', 'YPR029C', 'YPR095C', 'YPR105C', 'YPR109W', 'YPR159W', 'YPR181C']"
Golgi stack,7,"['YAL002W', 'YBR080C', 'YDL058W', 'YEL043W', 'YFL038C', 'YGR170W', 'YOR070C']"
Golgi to plasma membrane transport vesicle,2,"['YBR029C', 'YNL272C']"
Golgi trans cisterna,7,"['YAR042W', 'YBL102W', 'YKL006C-A', 'YLR436C', 'YNL127W', 'YOR322C', 'YPR194C']"
