go_c,count,Systematic Name
inner plaque of spindle pole body,4,"['YDR356W', 'YHR172W', 'YLR212C', 'YNL126W']"
inositol phosphoceramide synthase complex,3,"['YDR072C', 'YDR367W', 'YKL004W']"
integral component of Golgi membrane,25,"['YAL042W', 'YCL001W', 'YDR084C', 'YDR100W', 'YDR367W', 'YEL004W', 'YER074W-A', 'YFL048C', 'YGR172C', 'YHR181W', 'YIL004C', 'YIL041W', 'YJL004C', 'YKL006C-A', 'YKL179C', 'YKL212W', 'YKR030W', 'YKR088C', 'YML067C', 'YMR071C', 'YMR197C', 'YNL238W', 'YNL263C', 'YPL244C', 'YPR109W']"
integral component of cytoplasmic side of endoplasmic reticulum membrane,2,"['YGL098W', 'YKL100C']"
integral component of endoplasmic reticulum membrane,67,"['YAL042W', 'YAL058W', 'YBL011W', 'YBL040C', 'YBR004C', 'YBR005W', 'YBR036C', 'YBR070C', 'YBR183W', 'YBR201W', 'YCL005W', 'YCR034W', 'YCR067C', 'YDL212W', 'YDR233C', 'YDR319C', 'YDR411C', 'YDR437W', 'YEL004W', 'YER120W', 'YER140W', 'YFL048C', 'YFR042W', 'YGL012W', 'YGL055W', 'YGL126W', 'YGR036C', 'YGR143W', 'YGR177C', 'YHR079C', 'YHR101C', 'YHR181W', 'YHR188C', 'YIL030C', 'YIL090W', 'YIL102C-A', 'YIR033W', 'YJL062W', 'YJL097W', 'YJL196C', 'YJR010C-A', 'YJR117W', 'YKL020C', 'YKL154W', 'YKL212W', 'YKR067W', 'YLL006W', 'YLR246W', 'YLR372W', 'YLR404W', 'YML013W', 'YML048W', 'YML067C', 'YMR013C', 'YMR123W', 'YMR264W', 'YMR274C', 'YNL158W', 'YNL280C', 'YNR026C', 'YOR154W', 'YOR311C', 'YPL087W', 'YPL094C', 'YPL244C', 'YPR037C', 'YPR159W']"
integral component of endosome membrane,2,"['YOL018C', 'YPR109W']"
integral component of fungal-type vacuolar membrane,10,"['YBR147W', 'YCL038C', 'YDR089W', 'YDR352W', 'YIR014W', 'YKL221W', 'YNL125C', 'YOL092W', 'YOL119C', 'YOR306C']"
integral component of lumenal side of endoplasmic reticulum membrane,1,['YKL100C']
integral component of membrane,1230,"['Q0045', 'Q0055', 'Q0060', 'Q0065', 'Q0070', 'Q0080', 'Q0085', 'Q0105', 'Q0110', 'Q0115', 'Q0130', 'Q0250', 'Q0275', 'YAL007C', 'YAL008W', 'YAL009W', 'YAL010C', 'YAL014C', 'YAL018C', 'YAL022C', 'YAL023C', 'YAL026C', 'YAL028W', 'YAL030W', 'YAL042W', 'YAL048C', 'YAL053W', 'YAL055W', 'YAL058W', 'YAL064W-B', 'YAL065C', 'YAL067C', 'YAR002C-A', 'YAR023C', 'YAR027W', 'YAR028W', 'YAR031W', 'YAR033W', 'YAR064W', 'YBL011W', 'YBL017C', 'YBL020W', 'YBL030C', 'YBL040C', 'YBL042C', 'YBL048W', 'YBL059W', 'YBL071C', 'YBL082C', 'YBL089W', 'YBL091C-A', 'YBL102W', 'YBR004C', 'YBR005W', 'YBR008C', 'YBR014C', 'YBR015C', 'YBR021W', 'YBR023C', 'YBR024W', 'YBR027C', 'YBR029C', 'YBR036C', 'YBR037C', 'YBR038W', 'YBR040W', 'YBR041W', 'YBR043C', 'YBR044C', 'YBR054W', 'YBR058C-A', 'YBR063C', 'YBR068C', 'YBR069C', 'YBR070C', 'YBR074W', 'YBR077C', 'YBR085W', 'YBR086C', 'YBR090C', 'YBR104W', 'YBR106W', 'YBR110W', 'YBR126W-A', 'YBR132C', 'YBR147W', 'YBR150C', 'YBR159W', 'YBR161W', 'YBR162W-A', 'YBR168W', 'YBR171W', 'YBR179C', 'YBR180W', 'YBR183W', 'YBR187W', 'YBR192W', 'YBR196C-A', 'YBR199W', 'YBR201W', 'YBR205W', 'YBR207W', 'YBR209W', 'YBR210W', 'YBR219C', 'YBR220C', 'YBR230C', 'YBR235W', 'YBR241C', 'YBR243C', 'YBR255C-A', 'YBR255W', 'YBR262C', 'YBR265W', 'YBR266C', 'YBR283C', 'YBR284W', 'YBR287W', 'YBR290W', 'YBR291C', 'YBR292C', 'YBR293W', 'YBR294W', 'YBR295W', 'YBR296C', 'YBR298C', 'YBR302C', 'YCL001W', 'YCL002C', 'YCL005W', 'YCL005W-A', 'YCL021W-A', 'YCL025C', 'YCL027W', 'YCL038C', 'YCL044C', 'YCL045C', 'YCL052C', 'YCL056C', 'YCL057C-A', 'YCL058C', 'YCL069W', 'YCL073C', 'YCR007C', 'YCR010C', 'YCR011C', 'YCR017C', 'YCR021C', 'YCR023C', 'YCR024C-A', 'YCR024C-B', 'YCR026C', 'YCR028C', 'YCR034W', 'YCR037C', 'YCR041W', 'YCR044C', 'YCR048W', 'YCR061W', 'YCR067C', 'YCR068W', 'YCR069W', 'YCR075C', 'YCR094W', 'YCR098C', 'YCR100C', 'YCR104W', 'YDL009C', 'YDL010W', 'YDL012C', 'YDL015C', 'YDL018C', 'YDL027C', 'YDL035C', 'YDL039C', 'YDL054C', 'YDL067C', 'YDL072C', 'YDL089W', 'YDL093W', 'YDL095W', 'YDL119C', 'YDL121C', 'YDL123W', 'YDL128W', 'YDL133W', 'YDL138W', 'YDL142C', 'YDL149W', 'YDL180W', 'YDL193W', 'YDL194W', 'YDL198C', 'YDL199C', 'YDL204W', 'YDL206W', 'YDL210W', 'YDL211C', 'YDL212W', 'YDL217C', 'YDL218W', 'YDL222C', 'YDL231C', 'YDL232W', 'YDL245C', 'YDL247W', 'YDL248W', 'YDR003W', 'YDR011W', 'YDR018C', 'YDR029W', 'YDR033W', 'YDR034C-A', 'YDR034W-B', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR046C', 'YDR056C', 'YDR062W', 'YDR072C', 'YDR079W', 'YDR084C', 'YDR086C', 'YDR090C', 'YDR093W', 'YDR100W', 'YDR105C', 'YDR107C', 'YDR119W', 'YDR119W-A', 'YDR126W', 'YDR135C', 'YDR160W', 'YDR178W', 'YDR182W', 'YDR182W-A', 'YDR200C', 'YDR205W', 'YDR209C', 'YDR210W', 'YDR215C', 'YDR231C', 'YDR233C', 'YDR245W', 'YDR264C', 'YDR270W', 'YDR275W', 'YDR276C', 'YDR278C', 'YDR281C', 'YDR282C', 'YDR284C', 'YDR294C', 'YDR297W', 'YDR302W', 'YDR307W', 'YDR316W', 'YDR319C', 'YDR326C', 'YDR329C', 'YDR331W', 'YDR338C', 'YDR342C', 'YDR343C', 'YDR345C', 'YDR349C', 'YDR352W', 'YDR366C', 'YDR367W', 'YDR375C', 'YDR381C-A', 'YDR384C', 'YDR387C', 'YDR393W', 'YDR406W', 'YDR410C', 'YDR411C', 'YDR414C', 'YDR420W', 'YDR434W', 'YDR437W', 'YDR438W', 'YDR452W', 'YDR456W', 'YDR458C', 'YDR459C', 'YDR468C', 'YDR470C', 'YDR479C', 'YDR481C', 'YDR483W', 'YDR492W', 'YDR497C', 'YDR498C', 'YDR503C', 'YDR504C', 'YDR508C', 'YDR525W-A', 'YDR536W', 'YEL001C', 'YEL002C', 'YEL004W', 'YEL006W', 'YEL013W', 'YEL016C', 'YEL017C-A', 'YEL017W', 'YEL024W', 'YEL025C', 'YEL027W', 'YEL031W', 'YEL033W', 'YEL036C', 'YEL042W', 'YEL049W', 'YEL059W', 'YEL063C', 'YEL064C', 'YEL065W', 'YEL069C', 'YER001W', 'YER005W', 'YER017C', 'YER019C-A', 'YER019W', 'YER026C', 'YER039C', 'YER039C-A', 'YER044C', 'YER046W', 'YER053C', 'YER053C-A', 'YER056C', 'YER060W', 'YER060W-A', 'YER072W', 'YER074W-A', 'YER083C', 'YER087C-B', 'YER093C-A', 'YER100W', 'YER113C', 'YER118C', 'YER119C', 'YER120W', 'YER140W', 'YER141W', 'YER145C', 'YER154W', 'YER166W', 'YER181C', 'YER182W', 'YER185W', 'YER190C-B', 'YFL004W', 'YFL011W', 'YFL015C', 'YFL020C', 'YFL025C', 'YFL026W', 'YFL034W', 'YFL040W', 'YFL041W', 'YFL042C', 'YFL046W', 'YFL048C', 'YFL050C', 'YFL051C', 'YFL054C', 'YFL055W', 'YFL062W', 'YFL067W', 'YFL068W', 'YFR006W', 'YFR012W', 'YFR032C-B', 'YFR035C', 'YFR041C', 'YFR042W', 'YFR045W', 'YFR048W', 'YGL002W', 'YGL006W', 'YGL008C', 'YGL010W', 'YGL012W', 'YGL020C', 'YGL022W', 'YGL027C', 'YGL038C', 'YGL041C-B', 'YGL051W', 'YGL053W', 'YGL054C', 'YGL055W', 'YGL057C', 'YGL065C', 'YGL075C', 'YGL077C', 'YGL080W', 'YGL084C', 'YGL085W', 'YGL088W', 'YGL098W', 'YGL104C', 'YGL114W', 'YGL126W', 'YGL139W', 'YGL140C', 'YGL142C', 'YGL146C', 'YGL149W', 'YGL160W', 'YGL161C', 'YGL167C', 'YGL168W', 'YGL186C', 'YGL191W', 'YGL194C-A', 'YGL198W', 'YGL200C', 'YGL203C', 'YGL204C', 'YGL212W', 'YGL219C', 'YGL225W', 'YGL226C-A', 'YGL230C', 'YGL231C', 'YGL247W', 'YGL255W', 'YGL257C', 'YGL263W', 'YGR004W', 'YGR012W', 'YGR014W', 'YGR016W', 'YGR023W', 'YGR026W', 'YGR028W', 'YGR031C-A', 'YGR032W', 'YGR033C', 'YGR036C', 'YGR038W', 'YGR041W', 'YGR045C', 'YGR049W', 'YGR055W', 'YGR060W', 'YGR062C', 'YGR065C', 'YGR082W', 'YGR089W', 'YGR096W', 'YGR101W', 'YGR105W', 'YGR106C', 'YGR112W', 'YGR121C', 'YGR125W', 'YGR131W', 'YGR138C', 'YGR141W', 'YGR143W', 'YGR146C-A', 'YGR149W', 'YGR157W', 'YGR168C', 'YGR172C', 'YGR174C', 'YGR175C', 'YGR183C', 'YGR191W', 'YGR197C', 'YGR199W', 'YGR213C', 'YGR216C', 'YGR217W', 'YGR221C', 'YGR224W', 'YGR227W', 'YGR231C', 'YGR235C', 'YGR236C', 'YGR243W', 'YGR257C', 'YGR260W', 'YGR263C', 'YGR281W', 'YGR284C', 'YGR289C', 'YGR294W', 'YGR295C', 'YHL003C', 'YHL005C', 'YHL008C', 'YHL016C', 'YHL017W', 'YHL026C', 'YHL028W', 'YHL031C', 'YHL035C', 'YHL036W', 'YHL040C', 'YHL043W', 'YHL044W', 'YHL047C', 'YHL048W', 'YHL050C', 'YHR001W-A', 'YHR002W', 'YHR003C', 'YHR004C', 'YHR007C', 'YHR007C-A', 'YHR021W-A', 'YHR026W', 'YHR028C', 'YHR032W', 'YHR036W', 'YHR042W', 'YHR045W', 'YHR048W', 'YHR050W', 'YHR078W', 'YHR079C', 'YHR080C', 'YHR092C', 'YHR094C', 'YHR096C', 'YHR101C', 'YHR110W', 'YHR117W', 'YHR123W', 'YHR130C', 'YHR133C', 'YHR140W', 'YHR142W', 'YHR149C', 'YHR150W', 'YHR151C', 'YHR155W', 'YHR162W', 'YHR175W', 'YHR175W-A', 'YHR180W', 'YHR181W', 'YHR188C', 'YHR190W', 'YHR192W', 'YHR194W', 'YHR195W', 'YHR213W-A', 'YHR214C-D', 'YIL004C', 'YIL005W', 'YIL006W', 'YIL013C', 'YIL014W', 'YIL016W', 'YIL023C', 'YIL027C', 'YIL029C', 'YIL030C', 'YIL037C', 'YIL039W', 'YIL040W', 'YIL043C', 'YIL046W-A', 'YIL047C', 'YIL048W', 'YIL049W', 'YIL054W', 'YIL060W', 'YIL065C', 'YIL067C', 'YIL077C', 'YIL085C', 'YIL087C', 'YIL088C', 'YIL089W', 'YIL090W', 'YIL092W', 'YIL102C-A', 'YIL111W', 'YIL114C', 'YIL117C', 'YIL120W', 'YIL121W', 'YIL134C-A', 'YIL134W', 'YIL136W', 'YIL140W', 'YIL146C', 'YIL147C', 'YIL157C', 'YIL158W', 'YIL166C', 'YIL173W', 'YIR014W', 'YIR021W-A', 'YIR022W', 'YIR024C', 'YIR028W', 'YIR033W', 'YJL002C', 'YJL003W', 'YJL004C', 'YJL007C', 'YJL012C', 'YJL019W', 'YJL028W', 'YJL037W', 'YJL038C', 'YJL051W', 'YJL054W', 'YJL059W', 'YJL062W', 'YJL062W-A', 'YJL073W', 'YJL075C', 'YJL077C', 'YJL091C', 'YJL093C', 'YJL094C', 'YJL097W', 'YJL108C', 'YJL117W', 'YJL118W', 'YJL127C-B', 'YJL129C', 'YJL130C', 'YJL132W', 'YJL133C-A', 'YJL133W', 'YJL134W', 'YJL139C', 'YJL142C', 'YJL143W', 'YJL151C', 'YJL161W', 'YJL163C', 'YJL166W', 'YJL170C', 'YJL172W', 'YJL178C', 'YJL183W', 'YJL192C', 'YJL193W', 'YJL196C', 'YJL198W', 'YJL205C', 'YJL212C', 'YJL214W', 'YJL219W', 'YJL222W', 'YJR001W', 'YJR010C-A', 'YJR012C', 'YJR013W', 'YJR015W', 'YJR040W', 'YJR044C', 'YJR054W', 'YJR073C', 'YJR075W', 'YJR077C', 'YJR085C', 'YJR095W', 'YJR106W', 'YJR112W-A', 'YJR116W', 'YJR117W', 'YJR118C', 'YJR124C', 'YJR126C', 'YJR131W', 'YJR143C', 'YJR152W', 'YJR158W', 'YJR160C', 'YJR161C', 'YKL004W', 'YKL006C-A', 'YKL008C', 'YKL023C-A', 'YKL027W', 'YKL034W', 'YKL037W', 'YKL039W', 'YKL044W', 'YKL051W', 'YKL064W', 'YKL065C', 'YKL065W-A', 'YKL077W', 'YKL096C-B', 'YKL100C', 'YKL107W', 'YKL119C', 'YKL120W', 'YKL124W', 'YKL133C', 'YKL140W', 'YKL141W', 'YKL146W', 'YKL150W', 'YKL154W', 'YKL165C', 'YKL174C', 'YKL175W', 'YKL178C', 'YKL179C', 'YKL183C-A', 'YKL188C', 'YKL195W', 'YKL196C', 'YKL201C', 'YKL207W', 'YKL209C', 'YKL212W', 'YKL217W', 'YKL219W', 'YKL220C', 'YKL221W', 'YKR005C', 'YKR016W', 'YKR030W', 'YKR039W', 'YKR044W', 'YKR050W', 'YKR051W', 'YKR052C', 'YKR053C', 'YKR061W', 'YKR065C', 'YKR067W', 'YKR087C', 'YKR088C', 'YKR093W', 'YKR100C', 'YKR103W', 'YKR105C', 'YKR106W', 'YLL005C', 'YLL006W', 'YLL006W-A', 'YLL012W', 'YLL014W', 'YLL015W', 'YLL023C', 'YLL028W', 'YLL030C', 'YLL031C', 'YLL043W', 'YLL048C', 'YLL051C', 'YLL052C', 'YLL053C', 'YLL055W', 'YLL061W', 'YLR001C', 'YLR004C', 'YLR008C', 'YLR018C', 'YLR020C', 'YLR023C', 'YLR026C', 'YLR034C', 'YLR036C', 'YLR046C', 'YLR047C', 'YLR050C', 'YLR056W', 'YLR057W', 'YLR064W', 'YLR065C', 'YLR066W', 'YLR067C', 'YLR072W', 'YLR077W', 'YLR078C', 'YLR080W', 'YLR081W', 'YLR083C', 'YLR084C', 'YLR087C', 'YLR088W', 'YLR092W', 'YLR093C', 'YLR099W-A', 'YLR111W', 'YLR122C', 'YLR130C', 'YLR138W', 'YLR139C', 'YLR145W', 'YLR152C', 'YLR162W', 'YLR164W', 'YLR173W', 'YLR188W', 'YLR191W', 'YLR205C', 'YLR207W', 'YLR214W', 'YLR220W', 'YLR237W', 'YLR238W', 'YLR241W', 'YLR242C', 'YLR246W', 'YLR251W', 'YLR253W', 'YLR265C', 'YLR268W', 'YLR283W', 'YLR296W', 'YLR297W', 'YLR299W', 'YLR302C', 'YLR310C', 'YLR312C', 'YLR324W', 'YLR326W', 'YLR332W', 'YLR342W', 'YLR342W-A', 'YLR348C', 'YLR350W', 'YLR353W', 'YLR356W', 'YLR372W', 'YLR373C', 'YLR378C', 'YLR390W', 'YLR395C', 'YLR404W', 'YLR411W', 'YLR413W', 'YLR414C', 'YLR426W', 'YLR443W', 'YLR450W', 'YLR459W', 'YLR461W', 'YML012W', 'YML013W', 'YML018C', 'YML019W', 'YML029W', 'YML030W', 'YML031W', 'YML034W', 'YML038C', 'YML047C', 'YML048W', 'YML052W', 'YML055W', 'YML059C', 'YML066C', 'YML067C', 'YML072C', 'YML075C', 'YML081C-A', 'YML087C', 'YML115C', 'YML116W', 'YML123C', 'YML125C', 'YML129C', 'YML131W', 'YML132W', 'YMR003W', 'YMR010W', 'YMR011W', 'YMR013C', 'YMR026C', 'YMR030W-A', 'YMR034C', 'YMR035W', 'YMR040W', 'YMR054W', 'YMR056C', 'YMR058W', 'YMR060C', 'YMR063W', 'YMR065W', 'YMR071C', 'YMR088C', 'YMR089C', 'YMR110C', 'YMR115W', 'YMR118C', 'YMR119W', 'YMR122W-A', 'YMR123W', 'YMR126C', 'YMR129W', 'YMR134W', 'YMR148W', 'YMR149W', 'YMR150C', 'YMR155W', 'YMR157C', 'YMR162C', 'YMR163C', 'YMR166C', 'YMR171C', 'YMR177W', 'YMR182W-A', 'YMR183C', 'YMR187C', 'YMR197C', 'YMR200W', 'YMR202W', 'YMR203W', 'YMR209C', 'YMR221C', 'YMR241W', 'YMR243C', 'YMR244W', 'YMR253C', 'YMR254C', 'YMR256C', 'YMR264W', 'YMR266W', 'YMR272C', 'YMR274C', 'YMR279C', 'YMR281W', 'YMR292W', 'YMR296C', 'YMR298W', 'YMR301C', 'YMR302C', 'YMR306W', 'YMR319C', 'YNL003C', 'YNL008C', 'YNL012W', 'YNL019C', 'YNL024C-A', 'YNL026W', 'YNL029C', 'YNL033W', 'YNL038W', 'YNL044W', 'YNL046W', 'YNL048W', 'YNL052W', 'YNL054W', 'YNL055C', 'YNL058C', 'YNL065W', 'YNL070W', 'YNL080C', 'YNL083W', 'YNL087W', 'YNL095C', 'YNL100W', 'YNL101W', 'YNL111C', 'YNL115C', 'YNL121C', 'YNL125C', 'YNL130C', 'YNL131W', 'YNL142W', 'YNL143C', 'YNL146W', 'YNL149C', 'YNL156C', 'YNL158W', 'YNL159C', 'YNL169C', 'YNL176C', 'YNL181W', 'YNL192W', 'YNL194C', 'YNL219C', 'YNL237W', 'YNL238W', 'YNL243W', 'YNL257C', 'YNL263C', 'YNL268W', 'YNL270C', 'YNL275W', 'YNL279W', 'YNL280C', 'YNL283C', 'YNL291C', 'YNL294C', 'YNL305C', 'YNL318C', 'YNL320W', 'YNL321W', 'YNL323W', 'YNL326C', 'YNL336W', 'YNR002C', 'YNR008W', 'YNR013C', 'YNR017W', 'YNR018W', 'YNR019W', 'YNR021W', 'YNR026C', 'YNR030W', 'YNR039C', 'YNR041C', 'YNR048W', 'YNR055C', 'YNR056C', 'YNR059W', 'YNR060W', 'YNR061C', 'YNR062C', 'YNR065C', 'YNR066C', 'YNR070W', 'YNR072W', 'YNR074C', 'YNR075W', 'YOL002C', 'YOL003C', 'YOL013C', 'YOL018C', 'YOL019W', 'YOL020W', 'YOL026C', 'YOL027C', 'YOL044W', 'YOL047C', 'YOL048C', 'YOL053W', 'YOL060C', 'YOL073C', 'YOL075C', 'YOL077W-A', 'YOL084W', 'YOL092W', 'YOL101C', 'YOL103W', 'YOL105C', 'YOL107W', 'YOL119C', 'YOL122C', 'YOL129W', 'YOL130W', 'YOL137W', 'YOL152W', 'YOL156W', 'YOL158C', 'YOL161C', 'YOL162W', 'YOL163W', 'YOR002W', 'YOR008C', 'YOR008C-A', 'YOR011W', 'YOR015W', 'YOR016C', 'YOR020W-A', 'YOR030W', 'YOR032W-A', 'YOR034C', 'YOR034C-A', 'YOR036W', 'YOR044W', 'YOR045W', 'YOR049C', 'YOR059C', 'YOR065W', 'YOR067C', 'YOR071C', 'YOR075W', 'YOR079C', 'YOR085W', 'YOR086C', 'YOR087W', 'YOR092W', 'YOR093C', 'YOR097C', 'YOR099W', 'YOR100C', 'YOR103C', 'YOR104W', 'YOR106W', 'YOR130C', 'YOR147W', 'YOR149C', 'YOR152C', 'YOR153W', 'YOR154W', 'YOR161C', 'YOR161C-C', 'YOR165W', 'YOR175C', 'YOR183W', 'YOR186W', 'YOR192C', 'YOR211C', 'YOR219C', 'YOR222W', 'YOR223W', 'YOR228C', 'YOR235W', 'YOR245C', 'YOR246C', 'YOR254C', 'YOR256C', 'YOR266W', 'YOR268C', 'YOR270C', 'YOR271C', 'YOR273C', 'YOR291W', 'YOR292C', 'YOR297C', 'YOR298W', 'YOR301W', 'YOR306C', 'YOR307C', 'YOR311C', 'YOR316C', 'YOR320C', 'YOR321W', 'YOR324C', 'YOR327C', 'YOR328W', 'YOR334W', 'YOR348C', 'YOR365C', 'YOR376W', 'YOR378W', 'YOR381W', 'YOR384W', 'YOR390W', 'YPL006W', 'YPL019C', 'YPL036W', 'YPL041C', 'YPL050C', 'YPL053C', 'YPL057C', 'YPL058C', 'YPL060W', 'YPL063W', 'YPL076W', 'YPL087W', 'YPL092W', 'YPL094C', 'YPL096C-A', 'YPL098C', 'YPL099C', 'YPL103C', 'YPL112C', 'YPL119C-A', 'YPL132W', 'YPL134C', 'YPL147W', 'YPL156C', 'YPL162C', 'YPL168W', 'YPL172C', 'YPL175W', 'YPL176C', 'YPL189W', 'YPL192C', 'YPL200W', 'YPL206C', 'YPL215W', 'YPL221W', 'YPL224C', 'YPL227C', 'YPL232W', 'YPL234C', 'YPL244C', 'YPL246C', 'YPL257W', 'YPL264C', 'YPL265W', 'YPL270W', 'YPL274W', 'YPL279C', 'YPR003C', 'YPR010C-A', 'YPR011C', 'YPR021C', 'YPR026W', 'YPR027C', 'YPR028W', 'YPR037C', 'YPR038W', 'YPR058W', 'YPR061C', 'YPR063C', 'YPR064W', 'YPR071W', 'YPR075C', 'YPR079W', 'YPR091C', 'YPR098C', 'YPR109W', 'YPR113W', 'YPR114W', 'YPR117W', 'YPR124W', 'YPR125W', 'YPR128C', 'YPR133W-A', 'YPR138C', 'YPR139C', 'YPR149W', 'YPR153W', 'YPR155C', 'YPR156C', 'YPR157W', 'YPR159C-A', 'YPR159W', 'YPR170W-B', 'YPR183W', 'YPR192W', 'YPR194C', 'YPR198W', 'YPR201W']"
integral component of mitochondrial inner membrane,33,"['YDL183C', 'YDR079W', 'YDR381C-A', 'YDR470C', 'YER053C', 'YER153C', 'YER154W', 'YGL080W', 'YGR062C', 'YGR096W', 'YGR243W', 'YHR162W', 'YIL157C', 'YJL003W', 'YJL062W-A', 'YJL143W', 'YJR034W', 'YJR077C', 'YJR080C', 'YKL195W', 'YLR077W', 'YLR204W', 'YML030W', 'YMR302C', 'YNL169C', 'YNR017W', 'YNR018W', 'YNR041C', 'YOR266W', 'YOR271C', 'YOR356W', 'YPL103C', 'YPR061C']"
integral component of mitochondrial membrane,8,"['YBR238C', 'YGR174C', 'YIL157C', 'YLR253W', 'YLR393W', 'YNR041C', 'YOR228C', 'YPL215W']"
integral component of mitochondrial outer membrane,26,"['YAL008W', 'YAL010C', 'YAL048C', 'YBR179C', 'YBR230C', 'YDR470C', 'YER019W', 'YGL219C', 'YGR082W', 'YHR117W', 'YIL065C', 'YIL136W', 'YIL146C', 'YIL155C', 'YKL150W', 'YLR090W', 'YLR099W-A', 'YML086C', 'YMR110C', 'YNL026W', 'YNL055C', 'YNL121C', 'YNL131W', 'YOL026C', 'YPR133W-A', 'YPR140W']"
integral component of nuclear inner membrane,2,"['YJL019W', 'YLR457C']"
integral component of nuclear outer membrane,2,"['YLL023C', 'YLR018C']"
integral component of organelle membrane,1,['YMR065W']
integral component of peroxisomal membrane,15,"['YBR168W', 'YCL056C', 'YDR265W', 'YDR329C', 'YGR004W', 'YIL065C', 'YKL188C', 'YLR324W', 'YMR026C', 'YMR163C', 'YOL044W', 'YOL147C', 'YPL112C', 'YPL147W', 'YPR128C']"
integral component of plasma membrane,56,"['YBR008C', 'YBR132C', 'YBR294W', 'YBR295W', 'YBR296C', 'YCL027W', 'YCL069W', 'YCL073C', 'YCR017C', 'YDR420W', 'YEL065W', 'YFL026W', 'YGL006W', 'YGL114W', 'YGL255W', 'YGR014W', 'YGR023W', 'YGR121C', 'YGR224W', 'YHL008C', 'YHL040C', 'YHL047C', 'YIL120W', 'YIL121W', 'YIL140W', 'YIL147C', 'YJL062W', 'YJL093C', 'YJL129C', 'YJL212C', 'YJR040W', 'YJR054W', 'YKL178C', 'YKR039W', 'YKR050W', 'YKR105C', 'YKR106W', 'YLR092W', 'YLR332W', 'YLR373C', 'YLR411W', 'YML013W', 'YML047C', 'YML123C', 'YMR319C', 'YNL065W', 'YNL142W', 'YOL158C', 'YOR087W', 'YOR390W', 'YPL279C', 'YPR003C', 'YPR075C', 'YPR138C', 'YPR194C', 'YPR198W']"
integral component of vacuolar membrane,1,['YBR235W']
intermediate filament,1,['YDR130C']
intermediate layer of spindle pole body,1,['YKL042W']
intracellular membrane-bounded organelle,43,"['YAL054C', 'YAR042W', 'YBR005W', 'YBR131W', 'YDL019C', 'YDL126C', 'YDR003W', 'YDR236C', 'YDR304C', 'YDR320C', 'YER026C', 'YER178W', 'YGL006W', 'YGR036C', 'YGR175C', 'YHR001W', 'YHR057C', 'YHR073W', 'YHR190W', 'YJL024C', 'YJL088W', 'YJL145W', 'YJR058C', 'YKR003W', 'YKR019C', 'YLR065C', 'YLR170C', 'YLR216C', 'YLR260W', 'YLR380W', 'YMR006C', 'YMR008C', 'YNL012W', 'YNL111C', 'YNL130C', 'YNL231C', 'YNL264C', 'YOL011W', 'YOR095C', 'YOR171C', 'YOR237W', 'YPL145C', 'YPR113W']"
intrinsic component of endoplasmic reticulum membrane,2,"['YBR070C', 'YCR044C']"
intrinsic component of membrane,11,"['YAL067C', 'YBR002C', 'YCR028C', 'YGR065C', 'YGR260W', 'YIL166C', 'YJR152W', 'YLL055W', 'YLR004C', 'YMR101C', 'YOL163W']"
intrinsic component of mitochondrial inner membrane,5,"['YER014W', 'YIR024C', 'YOR211C', 'YPL099C', 'YPL132W']"
intrinsic component of the cytoplasmic side of the plasma membrane,1,['YBR041W']
intrinsic component of vacuolar membrane,2,"['YER072W', 'YJL012C']"
kinesin complex,6,"['YBL063W', 'YGL216W', 'YKL079W', 'YMR198W', 'YPL155C', 'YPL253C']"
kinetochore,68,"['YAL034W-A', 'YBL034C', 'YBR107C', 'YBR156C', 'YBR211C', 'YBR233W-A', 'YCL029C', 'YCR077C', 'YDL013W', 'YDL028C', 'YDR016C', 'YDR130C', 'YDR201W', 'YDR254W', 'YDR318W', 'YDR320C-A', 'YDR328C', 'YDR374W-A', 'YDR383C', 'YDR532C', 'YEL061C', 'YER018C', 'YER106W', 'YER116C', 'YER133W', 'YFR046C', 'YGL060W', 'YGL061C', 'YGL086W', 'YGL093W', 'YGR063C', 'YGR113W', 'YGR179C', 'YGR188C', 'YGR218W', 'YHR166C', 'YIL144W', 'YIR010W', 'YJL030W', 'YJR060W', 'YJR089W', 'YJR112W', 'YJR135C', 'YKL049C', 'YKL052C', 'YKL089W', 'YKL138C-A', 'YKR037C', 'YKR083C', 'YLR045C', 'YLR271W', 'YLR315W', 'YLR381W', 'YMR117C', 'YMR168C', 'YOL069W', 'YOR014W', 'YOR026W', 'YOR073W', 'YOR191W', 'YOR195W', 'YOR269W', 'YPL018W', 'YPL209C', 'YPL233W', 'YPL268W', 'YPL269W', 'YPR046W']"
kinetochore microtubule,6,"['YBR156C', 'YEL061C', 'YFL037W', 'YML085C', 'YML124C', 'YPL209C']"
large ribosomal subunit,24,"['YCR003W', 'YDL202W', 'YDR116C', 'YDR140W', 'YDR418W', 'YDR496C', 'YEL050C', 'YEL054C', 'YGL103W', 'YGL135W', 'YGR034W', 'YIL133C', 'YJL063C', 'YJL177W', 'YKL170W', 'YKL180W', 'YLR344W', 'YMR286W', 'YNL069C', 'YNL122C', 'YNL177C', 'YNL185C', 'YNL284C', 'YPL220W']"
