complex,count,Systematic Name
Elg1 RFC-like complex,5,"['YBR087W', 'YJR068W', 'YNL290W', 'YOL094C', 'YOR144C']"
Elongator holoenzyme complex,6,"['YGR200C', 'YHR187W', 'YLR384C', 'YMR312W', 'YPL086C', 'YPL101W']"
F-actin capping protein complex,2,"['YIL034C', 'YKL007W']"
FACT complex,2,"['YGL207W', 'YML069W']"
FAL1-SGD1 complex,2,"['YDR021W', 'YLR336C']"
FANCM-MHF complex,2,"['YDL160C-A', 'YOL086W-A']"
GARP complex,4,"['YDR027C', 'YDR484W', 'YJL029C', 'YKR020W']"
GET complex,3,"['YDL100C', 'YER083C', 'YGL020C']"
GID complex,7,"['YBR105C', 'YCL039W', 'YDR255C', 'YGL227W', 'YIL017C', 'YIL097W', 'YMR135C']"
GINS complex,4,"['YDR013W', 'YDR489W', 'YJL072C', 'YOL146W']"
GPI-anchor transamidase complex,5,"['YDR331W', 'YDR434W', 'YHR188C', 'YLR088W', 'YLR459W']"
Golgi transport complex,8,"['YER157W', 'YGL005C', 'YGL223C', 'YGR120C', 'YML071C', 'YNL041C', 'YNL051W', 'YPR105C']"
Gtr1-Gtr2 GTPase complex,2,"['YGR163W', 'YML121W']"
HDA1 complex,3,"['YDR295C', 'YNL021W', 'YPR179C']"
HICS complex,4,"['YDL117W', 'YER118C', 'YMR032W', 'YNL152W']"
HIR complex,4,"['YBL008W', 'YBR215W', 'YJR140C', 'YOR038C']"
HOPS complex,6,"['YDL077C', 'YDR080W', 'YLR148W', 'YLR396C', 'YMR231W', 'YPL045W']"
Holliday junction resolvase complex,2,"['YBR098W', 'YDR386W']"
Hrd1p ubiquitin ligase ERAD-L complex,12,"['YBR170C', 'YBR201W', 'YDL126C', 'YDR057W', 'YDR411C', 'YGR048W', 'YLR207W', 'YML013W', 'YML029W', 'YMR022W', 'YMR264W', 'YOL013C']"
Hrd1p ubiquitin ligase ERAD-M complex,2,"['YLR207W', 'YOL013C']"
INA complex,2,"['YIR024C', 'YPL099C']"
Iml1 complex,3,"['YEL062W', 'YHL023C', 'YJR138W']"
Ino80 complex,15,"['YDL002C', 'YDR190C', 'YEL044W', 'YER092W', 'YFL013C', 'YFL039C', 'YGL150C', 'YJL081C', 'YLR052W', 'YNL059C', 'YNL215W', 'YOR141C', 'YOR189W', 'YPL129W', 'YPL235W']"
Isw1 complex,4,"['YBR245C', 'YFR013W', 'YLR095C', 'YMR044W']"
Isw1a complex,2,"['YBR245C', 'YFR013W']"
Isw1b complex,3,"['YBR245C', 'YLR095C', 'YMR044W']"
Kelch-containing formin regulatory complex,3,"['YAR014C', 'YGR238C', 'YHR158C']"
Ku70:Ku80 complex,2,"['YMR106C', 'YMR284W']"
L-cysteine desulfurase complex,2,"['YCL017C', 'YER048W-A']"
Lem3p-Dnf1p complex,2,"['YER166W', 'YNL323W']"
Lsm1-7-Pat1 complex,8,"['YBL026W', 'YCR077C', 'YDR378C', 'YER112W', 'YER146W', 'YJL124C', 'YLR438C-A', 'YNL147W']"
Lst4-Lst7 complex,2,"['YGR057C', 'YKL176C']"
MBF transcription complex,4,"['YDL056W', 'YLR182W', 'YNL309W', 'YNR009W']"
MCM complex,6,"['YBL023C', 'YBR202W', 'YEL032W', 'YGL201C', 'YLR274W', 'YPR019W']"
MCM core complex,3,"['YBR202W', 'YGL201C', 'YPR019W']"
MICOS complex,6,"['YBR262C', 'YCL057C-A', 'YFR011C', 'YGR235C', 'YKR016W', 'YNL100W']"
MIS complex,3,"['YBR057C', 'YGL192W', 'YNL196C']"
MUB1-RAD6-UBR2 ubiquitin ligase complex,3,"['YGL058W', 'YLR024C', 'YMR100W']"
Mon1-Ccz1 complex,2,"['YBR131W', 'YGL124C']"
Mpp10 complex,3,"['YHR148W', 'YJR002W', 'YNL075W']"
Mre11 complex,3,"['YDR369C', 'YMR224C', 'YNL250W']"
MutLalpha complex,2,"['YMR167W', 'YNL082W']"
MutLgamma complex,2,"['YMR167W', 'YPL164C']"
MutSalpha complex,3,"['YDR097C', 'YOL090W', 'YPR052C']"
MutSbeta complex,2,"['YCR092C', 'YOL090W']"
Myo2p-Vac17p-Vac8p transport complex,3,"['YCL063W', 'YEL013W', 'YOR326W']"
NatA complex,3,"['YDL040C', 'YHR013C', 'YOR253W']"
NatB complex,2,"['YOL076W', 'YPR131C']"
NatC complex,3,"['YCR020C-A', 'YEL053C', 'YPR051W']"
Nbp35-Cfd1 ATPase complex,2,"['YGL091C', 'YIL003W']"
Ndc80 complex,5,"['YER018C', 'YFR046C', 'YIL144W', 'YMR117C', 'YOL069W']"
Nem1-Spo7 phosphatase complex,2,"['YAL009W', 'YHR004C']"
Noc1p-Noc2p complex,2,"['YDR060W', 'YOR206W']"
Noc2p-Noc3p complex,2,"['YLR002C', 'YOR206W']"
Noc4p-Nop14p complex,2,"['YDL148C', 'YPR144C']"
Nrd1 complex,3,"['YLR430W', 'YNL251C', 'YPL190C']"
NuA3 histone acetyltransferase complex,6,"['YBL052C', 'YJR082C', 'YLR455W', 'YOR064C', 'YPL129W', 'YPR031W']"
NuA3a histone acetyltransferase complex,5,"['YBL052C', 'YJR082C', 'YOR064C', 'YPL129W', 'YPR031W']"
