phenotype,count,Systematic Name
utilization of carbon source: delayed,1,['YDR009W']
utilization of carbon source: increased,9,"['YDR226W', 'YDR538W', 'YCR084C', 'YER148W', 'YBR175W', 'YBR112C', 'YDR510W', 'YHR104W', 'YGR252W']"
utilization of carbon source: increased rate,6,"['YLR354C', 'YHR163W', 'YNL248C', 'YLR042C', 'YDR538W', 'YIL110W']"
utilization of carbon source: normal,2,"['YOR374W', 'YOR180C']"
utilization of iron source: decreased,39,"['YBR173C', 'YJL176C', 'YNL080C', 'YPR036W', 'YMR021C', 'YOR331C', 'YMR123W', 'YDR176W', 'YDL226C', 'YHL040C', 'YMR134W', 'YEL044W', 'YLR447C', 'YBR127C', 'YHR060W', 'YKL212W', 'YER111C', 'YDR433W', 'YJL056C', 'YJL117W', 'YGR105W', 'YLR386W', 'YCL007C', 'YGL071W', 'YNL280C', 'YDL185W', 'YHR026W', 'YEL051W', 'YKL118W', 'YBL058W', 'YKR071C', 'YLR268W', 'YML012C-A', 'YEL027W', 'YHR004C', 'YDR069C', 'YPL170W', 'YPL234C', 'YOR139C']"
utilization of nitrogen source: abnormal,4,"['YIL041W', 'YGL154C', 'YGL202W', 'YBR115C']"
utilization of nitrogen source: absent,119,"['YBL093C', 'YDR173C', 'YMR300C', 'YNL316C', 'YGR006W', 'YDR158W', 'YHL030W', 'YHR183W', 'YJL129C', 'YBR127C', 'YLR240W', 'YGR061C', 'YOR128C', 'YOR381W', 'YGR260W', 'YBR166C', 'YOR382W', 'YGL029W', 'YDR442W', 'YHR037W', 'YML112W', 'YER068C-A', 'YBR213W', 'YLR226W', 'YKR069W', 'YMR091C', 'YIR029W', 'YDL077C', 'YER060W-A', 'YIR028W', 'YLR322W', 'YPL065W', 'YOR302W', 'YJR060W', 'YHR178W', 'YJL201W', 'YJR010W', 'YDR127W', 'YOR184W', 'YJL184W', 'YEL029C', 'YHR001W-A', 'YJR050W', 'YJR137C', 'YER014C-A', 'YJR073C', 'YDR017C', 'YIL128W', 'YJR152W', 'YJR139C', 'YCR053W', 'YOR130C', 'YIR017C', 'YDL185W', 'YIR027C', 'YKL001C', 'YOL058W', 'YML099C', 'YER091C-A', 'YDR008C', 'YOR241W', 'YDR294C', 'YNL220W', 'YPR167C', 'YEL004W', 'YGL148W', 'YJL071W', 'YOL125W', 'YDR323C', 'YER090W', 'YGL095C', 'YIL069C', 'YDR354W', 'YPL188W', 'YGR204W', 'YDL212W', 'YDR364C', 'YPL111W', 'YGL234W', 'YJR122W', 'YHR025W', 'YER091C', 'YDR120C', 'YDL198C', 'YER086W', 'YER057C', 'YGL026C', 'YER070W', 'YKL211C', 'YGL206C', 'YFR001W', 'YPR036W', 'YGR208W', 'YPR074C', 'YOL143C', 'YPR062W', 'YER137C', 'YGR155W', 'YLR303W', 'YLR142W', 'YFR030W', 'YNL241C', 'YJR109C', 'YJL138C', 'YHR018C', 'YOR303W', 'YIL039W', 'YLR304C', 'YDR408C', 'YDR495C', 'YFR019W', 'YAR015W', 'YBR208C', 'YML097C', 'YHR039C-A', 'YML128C', 'YJL088W', 'YJR104C', 'YER069W']"
utilization of nitrogen source: decreased,17,"['YCL064C', 'YOR276W', 'YIR023W', 'YDR173C', 'YDL212W', 'YHL023C', 'YFL018C', 'YFL033C', 'YPL268W', 'YDL119C', 'YHR178W', 'YNL314W', 'YKL204W', 'YDL170W', 'YLR089C', 'YEL062W', 'YDL215C']"
utilization of nitrogen source: decreased rate,1257,"['YDL125C', 'YCR063W', 'YDL142C', 'YML088W', 'YBR127C', 'YGR193C', 'YDL039C', 'YOL111C', 'YHR111W', 'YOR037W', 'YMR025W', 'YPR051W', 'YNL176C', 'YEL015W', 'YJL030W', 'YJR058C', 'YPL065W', 'YPR158W', 'YLR063W', 'YBR179C', 'YMR129W', 'YAL039C', 'YPR124W', 'YEL045C', 'YMR123W', 'YCL047C', 'YJR103W', 'YOR039W', 'YPL101W', 'YMR322C', 'YOR027W', 'YML094W', 'YMR317W', 'YDR017C', 'YHR157W', 'YOR035C', 'YOR162C', 'YIL138C', 'YPL097W', 'YER065C', 'YFL018C', 'YOR153W', 'YMR163C', 'YOL014W', 'YKL005C', 'YDR372C', 'YJL047C', 'YLR343W', 'YGL041C-B', 'YGR093W', 'YNL043C', 'YNL057W', 'YER099C', 'YLR382C', 'YHL038C', 'YDR120C', 'YKL062W', 'YKR088C', 'YMR295C', 'YDR206W', 'YFR012W', 'YDR293C', 'YBR297W', 'YMR089C', 'YPR023C', 'YOR101W', 'YNR072W', 'YDR262W', 'YFR048W', 'YDR532C', 'YAL013W', 'YIL153W', 'YHR092C', 'YLR402W', 'YNR020C', 'YDR284C', 'YBR158W', 'YNL304W', 'YLR006C', 'YDR508C', 'YIL148W', 'YOR330C', 'YDR456W', 'YNR036C', 'YGR229C', 'YKL027W', 'YMR018W', 'YBR131W', 'YMR169C', 'YBR299W', 'YPL138C', 'YBR209W', 'YLR070C', 'YLR357W', 'YDR162C', 'YLR354C', 'YGL107C', 'YML001W', 'YDL173W', 'YNL037C', 'YDR066C', 'YKL107W', 'YPL029W', 'YDR126W', 'YKR054C', 'YPL264C', 'YOL087C', 'YGL086W', 'YNL073W', 'YFR033C', 'YNR052C', 'YGR165W', 'YCL058C', 'YOR235W', 'YPL089C', 'YDL191W', 'YNL044W', 'YJR145C', 'YPR159W', 'YBL104C', 'YDR290W', 'YBL028C', 'YFL054C', 'YKL030W', 'YIL043C', 'YLR270W', 'YGL080W', 'YNL235C', 'YGL191W', 'YMR074C', 'YAL058W', 'YGR271C-A', 'YML054C-A', 'YLR035C', 'YMR256C', 'YOR288C', 'YLR072W', 'YNL031C', 'YOR271C', 'YEL007W', 'YDL231C', 'YNR031C', 'YLL029W', 'YMR098C', 'YMR312W', 'YDR028C', 'YBL027W', 'YKR004C', 'YLR372W', 'YHR073W', 'YFL042C', 'YPL001W', 'YMR257C', 'YML082W', 'YLR253W', 'YPR005C', 'YMR293C', 'YOL002C', 'YER033C', 'YNL035C', 'YLR342W', 'YMR001C-A', 'YNL108C', 'YNL089C', 'YML113W', 'YOR269W', 'YKL133C', 'YMR147W', 'YJL157C', 'YJR101W', 'YLR124W', 'YCL029C', 'YPR030W', 'YIL134W', 'YML106W', 'YNL299W', 'YDR097C', 'YAL026C', 'YNL264C', 'YER177W', 'YDR411C', 'YHR192W', 'YLR220W', 'YHL028W', 'YOR205C', 'YOR226C', 'YFR036W', 'YMR292W', 'YOR003W', 'YBR147W', 'YLR177W', 'YNL053W', 'YPL189C-A', 'YKL139W', 'YJL189W', 'YDR453C', 'YNL296W', 'YDR025W', 'YMR204C', 'YIL042C', 'YER017C', 'YNL030W', 'YLL020C', 'YMR145C', 'YNL315C', 'YGR036C', 'YDR300C', 'YJL016W', 'YPL132W', 'YDR431W', 'YOR311C', 'YJR088C', 'YJL136W-A', 'YJR037W', 'YNR025C', 'YNL213C', 'YJR127C', 'YPL214C', 'YPR028W', 'YHR007C-A', 'YDR424C', 'YLR146C', 'YGR174C', 'YLR038C', 'YGR262C', 'YKR082W', 'YPL192C', 'YJL180C', 'YER154W', 'YJL063C', 'YNL081C', 'YML047C', 'YNL298W', 'YIL011W', 'YKR035C', 'YBR230W-A', 'YDL149W', 'YMR313C', 'YGR096W', 'YDR011W', 'YHR137W', 'YML053C', 'YPL018W', 'YER048C', 'YPL042C', 'YDR513W', 'YNL055C', 'YNL284C', 'YNR074C', 'YKR001C', 'YLR422W', 'YNL224C', 'YDR519W', 'YGL100W', 'YMR228W', 'YJL029C', 'YLR089C', 'YLR176C', 'YNR057C', 'YBR041W', 'YKL015W', 'YML051W', 'YDR237W', 'YIL025C', 'YOR211C', 'YBL005W', 'YPR106W', 'YKL151C', 'YPL260W', 'YGR226C', 'YPR089W', 'YDR405W', 'YLR012C', 'YCR060W', 'YGR275W', 'YBR023C', 'YCR031C', 'YNL322C', 'YKL057C', 'YMR060C', 'YGL095C', 'YLR358C', 'YNL139C', 'YGR152C', 'YNL301C', 'YJL062W-A', 'YPR101W', 'YLR250W', 'YPL060W', 'YOR141C', 'YFL052W', 'YLR262C', 'YEL006W', 'YOL138C', 'YPR118W', 'YFL053W', 'YKL064W', 'YOL145C', 'YLR328W', 'YER153C', 'YKR041W', 'YAL054C', 'YGL041C', 'YJR090C', 'YBR113W', 'YLR419W', 'YBR103W', 'YCL008C', 'YOR123C', 'YPL165C', 'YGL024W', 'YLR165C', 'YGR199W', 'YOR079C', 'YOR150W', 'YNL327W', 'YEL022W', 'YOR068C', 'YLR406C', 'YJR144W', 'YMR285C', 'YGL240W', 'YJL036W', 'YML112W', 'YDR115W', 'YJR004C', 'YHR135C', 'YDR334W', 'YKR029C', 'YHR030C', 'YDR080W', 'YEL050C', 'YGL223C', 'YPL100W', 'YML070W', 'YFR032C', 'YGR011W', 'YGL056C', 'YGR150C', 'YLR203C', 'YGL173C', 'YNR037C', 'YBR056W', 'YMR097C', 'YOR358W', 'YDL174C', 'YGR203W', 'YER040W', 'YDR273W', 'YIL010W', 'YHL005C', 'YLL007C', 'YMR052W', 'YDR231C', 'YER151C', 'YBR006W', 'YIL006W', 'YJL095W', 'YJL007C', 'YMR121C', 'YLR194C', 'YFR040W', 'YOR365C', 'YDL026W', 'YPR191W', 'YGR285C', 'YDR048C', 'YBR164C', 'YDR186C', 'YNL080C', 'YOR066W', 'YDR176W', 'YGR215W', 'YFR016C', 'YDR291W', 'YCR032W', 'YDR363W-A', 'YOR209C', 'YNL028W', 'YNL052W', 'YDR034C', 'YPL265W', 'YKL119C', 'YLR251W', 'YDR418W', 'YKL037W', 'YER056C', 'YMR287C', 'YBR036C', 'YDR004W', 'YDR079C-A', 'YDR034W-B', 'YPL031C', 'YDR450W', 'YJL121C', 'YPL220W', 'YJL046W', 'YOR381W', 'YBR228W', 'YBL071W-A', 'YOR192C', 'YDR246W-A', 'YGL167C', 'YBR231C', 'YDR452W', 'YER182W', 'YEL016C', 'YJR094C', 'YPL022W', 'YBR282W', 'YBR044C', 'YMR077C', 'YMR151W', 'YEL023C', 'YLR452C', 'YMR004W', 'YML017W', 'YDL068W', 'YMR320W', 'YDR297W', 'YMR262W', 'YLR030W', 'YMR251W', 'YKR018C', 'YMR088C', 'YDR426C', 'YJL070C', 'YML009C', 'YDR094W', 'YPL114W', 'YLR437C', 'YOR080W', 'YDR148C', 'YMR183C', 'YBL106C', 'YAL051W', 'YCR082W', 'YMR180C', 'YOR186W', 'YCR084C', 'YDR005C', 'YHR009C', 'YOL035C', 'YGR134W', 'YKL194C', 'YJR062C', 'YMR008C', 'YBR149W', 'YHR100C', 'YGR183C', 'YDR486C', 'YJL136C', 'YLL027W', 'YHR086W-A', 'YIL067C', 'YPR129W', 'YDR359C', 'YHR200W', 'YFL010C', 'YLR152C', 'YDR470C', 'YML083C', 'YDR360W', 'YMR269W', 'YJL023C', 'YDR199W', 'YER142C', 'YML014W', 'YOR007C', 'YKL138C', 'YGR092W', 'YDR346C', 'YKR101W', 'YGR223C', 'YLR207W', 'YCR102W-A', 'YLL041C', 'YMR158W', 'YOR343C', 'YKL202W', 'YOR069W', 'YPL017C', 'YPL069C', 'YIL137C', 'YPR195C', 'YJL073W', 'YMR201C', 'YOR188W', 'YOR284W', 'YNL074C', 'YPR017C', 'YHR133C', 'YBR200W', 'YOL096C', 'YNL286W', 'YBR289W', 'YDR241W', 'YHR168W', 'YGR117C', 'YBL083C', 'YOL122C', 'YOL036W', 'YHR038W', 'YIR018W', 'YPR116W', 'YHR012W', 'YIL059C', 'YGR020C', 'YBR025C', 'YLL043W', 'YKL170W', 'YOR125C', 'YDL110C', 'YBR083W', 'YHR021C', 'YJR128W', 'YFR045W', 'YMR035W', 'YPL154C', 'YDR350C', 'YBL045C', 'YJL003W', 'YKL156W', 'YHR129C', 'YHR132W-A', 'YER020W', 'YDR322C-A', 'YOR239W', 'YER058W', 'YMR158W-B', 'YOL047C', 'YNL300W', 'YGR112W', 'YHR050W', 'YIL023C', 'YIL132C', 'YPL139C', 'YDR469W', 'YLR216C', 'YDL123W', 'YDR347W', 'YMR150C', 'YOL050C', 'YGR032W', 'YGL163C', 'YPL045W', 'YGR035C', 'YBL090W', 'YGR063C', 'YPR155C', 'YFR034C', 'YNL242W', 'YLR446W', 'YOL126C', 'YIR030C', 'YPL183W-A', 'YPL173W', 'YGR166W', 'YMR221C', 'YBR145W', 'YOL128C', 'YHR026W', 'YCR022C', 'YML090W', 'YHR178W', 'YBR093C', 'YKR085C', 'YLR418C', 'YMR306C-A', 'YNL146C-A', 'YKL212W', 'YNL071W', 'YLR234W', 'YLR244C', 'YHL027W', 'YGR180C', 'YLR138W', 'YEL003W', 'YJR152W', 'YNL229C', 'YIR017C', 'YLR202C', 'YER072W', 'YLR439W', 'YMR155W', 'YBR294W', 'YJL168C', 'YDR129C', 'YBL013W', 'YJL099W', 'YOL090W', 'YMR080C', 'YDR354W', 'YGR217W', 'YHR039C', 'YLR315W', 'YNL177C', 'YDR389W', 'YDR309C', 'YGL231C', 'YDR219C', 'YBR277C', 'YNL046W', 'YER161C', 'YPR092W', 'YGL168W', 'YGR012W', 'YHR096C', 'YNL160W', 'YML041C', 'YKR035W-A', 'YOL083W', 'YJL044C', 'YGL005C', 'YML061C', 'YIL152W', 'YPR073C', 'YDR136C', 'YOR092W', 'YHR039C-A', 'YLR181C', 'YJR049C', 'YHR104W', 'YMR066W', 'YJL020C', 'YLR285W', 'YIL089W', 'YGR101W', 'YJL154C', 'YEL024W', 'YML013W', 'YML008C', 'YGR061C', 'YDR225W', 'YOR253W', 'YDR443C', 'YGR192C', 'YPR042C', 'YER039C', 'YPL005W', 'YKR100C', 'YLR421C', 'YER178W', 'YJL217W', 'YGL212W', 'YPL141C', 'YBR251W', 'YDL045W-A', 'YAL067C', 'YGR219W', 'YMR267W', 'YDR380W', 'YJL175W', 'YGR148C', 'YPR047W', 'YKR020W', 'YDL044C', 'YOR328W', 'YNR001C', 'YGR106C', 'YGL119W', 'YML059C', 'YLR187W', 'YHR105W', 'YDR137W', 'YDR289C', 'YGR068C', 'YDR511W', 'YLR352W', 'YHR067W', 'YNL252C', 'YPL178W', 'YJR108W', 'YLR192C', 'YOL023W', 'YBL086C', 'YGR233C', 'YLL039C', 'YPL077C', 'YNL329C', 'YOL071W', 'YHR090C', 'YPL227C', 'YPL147W', 'YDR484W', 'YPL120W', 'YNR055C', 'YNL184C', 'YDL047W', 'YHR108W', 'YGL235W', 'YGL197W', 'YDL203C', 'YMR032W', 'YBR151W', 'YGR003W', 'YDL070W', 'YBL080C', 'YAL036C', 'YPL182C', 'YNL275W', 'YBR019C', 'YLR345W', 'YDR204W', 'YMR286W', 'YJR077C', 'YLR013W', 'YHR011W', 'YIL099W', 'YNR018W', 'YHR146W', 'YJL214W', 'YBR077C', 'YER155C', 'YLR331C', 'YKR015C', 'YGR209C', 'YBL078C', 'YJL078C', 'YLR039C', 'YFL046W', 'YBR134W', 'YJL101C', 'YNL183C', 'YGL255W', 'YDL106C', 'YDR524W-C', 'YBR169C', 'YHR189W', 'YER083C', 'YCR050C', 'YGR157W', 'YLR399C', 'YKL208W', 'YML009W-B', 'YKL050C', 'YLL012W', 'YGL124C', 'YKL001C', 'YDL050C', 'YMR189W', 'YGL036W', 'YGR123C', 'YBR224W', 'YJR105W', 'YPL152W', 'YOR034C', 'YML081C-A', 'YGL148W', 'YDR529C', 'YMR159C', 'YLR056W', 'YKL134C', 'YHR139C-A', 'YNL120C', 'YKL167C', 'YMR174C', 'YML036W', 'YKL085W', 'YLR425W', 'YGR017W', 'YAL034C', 'YLR268W', 'YDR042C', 'YNL265C', 'YBL100C', 'YJR032W', 'YLR028C', 'YHR086W', 'YER095W', 'YBR034C', 'YKL100C', 'YPR074C', 'YOR026W', 'YDR128W', 'YKL169C', 'YMR031W-A', 'YGR155W', 'YKL016C', 'YBR215W', 'YKL056C', 'YJL043W', 'YMR116C', 'YLR139C', 'YJR039W', 'YAL016W', 'YDL116W', 'YPL262W', 'YLR183C', 'YDR377W', 'YJL098W', 'YJR040W', 'YLR201C', 'YBR040W', 'YGR042W', 'YFL036W', 'YGR197C', 'YBR159W', 'YNL020C', 'YER181C', 'YCL040W', 'YPL253C', 'YCR024C-A', 'YHR209W', 'YPL050C', 'YJR082C', 'YPL057C', 'YDR079W', 'YOL076W', 'YDR069C', 'YDL101C', 'YIL035C', 'YKL023W', 'YDR229W', 'YJL117W', 'YDR512C', 'YLR431C', 'YMR164C', 'YGR252W', 'YPR050C', 'YPR170C', 'YHR194W', 'YOL008W', 'YDR245W', 'YPL234C', 'YDR435C', 'YKL043W', 'YFR026C', 'YDL197C', 'YBR187W', 'YNL023C', 'YML007C-A', 'YBR003W', 'YNL162W', 'YEL017C-A', 'YAL020C', 'YKR016W', 'YCR071C', 'YOR014W', 'YDL067C', 'YNL064C', 'YOL070C', 'YBR245C', 'YER145C', 'YDR006C', 'YOR152C', 'YOR115C', 'YOL027C', 'YMR283C', 'YDL224C', 'YKL054C', 'YLR237W', 'YJL158C', 'YOL131W', 'YLR142W', 'YNL274C', 'YNL010W', 'YDL019C', 'YGR104C', 'YMR002W', 'YDL242W', 'YNL325C', 'YNL293W', 'YKL081W', 'YBR168W', 'YLR218C', 'YER111C', 'YDR003W', 'YFL051C', 'YDL115C', 'YPR201W', 'YIR020W-A', 'YER162C', 'YDR174W', 'YPL130W', 'YJR114W', 'YOR058C', 'YHL011C', 'YLR093C', 'YGR222W', 'YDR252W', 'YOR243C', 'YIL008W', 'YER123W', 'YJR151W-A', 'YJR073C', 'YPL256C', 'YLR238W', 'YJL064W', 'YLL047W', 'YCR015C', 'YDL104C', 'YGL205W', 'YBR278W', 'YDR387C', 'YHR041C', 'YBL046W', 'YNL107W', 'YJR036C', 'YLR392C', 'YJL103C', 'YCL045C', 'YDR193W', 'YGR019W', 'YCR094W', 'YPL002C', 'YOR070C', 'YBL099W', 'YER050C', 'YGR062C', 'YDR352W', 'YML123C', 'YLR332W', 'YBL038W', 'YNR010W', 'YFR001W', 'YOR170W', 'YER088C', 'YMR021C', 'YKR030W', 'YDR322W', 'YJR095W', 'YLR067C', 'YKL003C', 'YNL136W', 'YLR097C', 'YDR036C', 'YPL053C', 'YPR100W', 'YCR023C', 'YML011C', 'YOR221C', 'YPR024W', 'YNL070W', 'YJL135W', 'YHR185C', 'YGL084C', 'YLR119W', 'YBR241C', 'YOR190W', 'YNL025C', 'YMR175W', 'YGR006W', 'YBR026C', 'YER002W', 'YNL041C', 'YMR024W', 'YDL202W', 'YCR025C', 'YGR057C', 'YBR144C', 'YNL005C', 'YOR065W', 'YNL029C', 'YNL271C', 'YBR261C', 'YOR318C', 'YDR463W', 'YHR158C', 'YNL119W', 'YLR179C', 'YDR024W', 'YLR025W', 'YDR493W', 'YDR321W', 'YMR173W-A', 'YNL270C', 'YDR075W', 'YPR066W', 'YMR190C', 'YPR133W-A', 'YBL021C', 'YCR077C', 'YDR207C', 'YOR061W', 'YBL044W', 'YLR204W', 'YER141W', 'YOR011W', 'YOR085W', 'YKL026C', 'YOL159C', 'YGL188C-A', 'YKL155C', 'YOR337W', 'YGL200C', 'YOR067C', 'YHR049C-A', 'YBR235W', 'YBR298C', 'YFL001W', 'YLR396C', 'YJR102C', 'YPR141C', 'YJR120W', 'YLR188W', 'YNL051W', 'YJR113C', 'YER060W', 'YDR119W', 'YLR069C', 'YKL041W', 'YJL120W', 'YLR058C', 'YCR091W', 'YNL147W', 'YLR403W', 'YMR044W', 'YPR127W', 'YDR123C', 'YLR393W', 'YJR075W', 'YDR220C', 'YKL087C', 'YPL055C', 'YOL059W', 'YHR098C', 'YBR095C', 'YGL090W', 'YFR035C', 'YIL002C', 'YAL022C', 'YPR179C', 'YKR032W', 'YDL137W', 'YJR151C', 'YJL066C', 'YKL053C-A', 'YKL073W', 'YEL042W', 'YDR375C', 'YNL016W', 'YLR429W', 'YPL271W', 'YBR120C', 'YER084W', 'YAL009W', 'YDL215C', 'YJR048W', 'YDR163W', 'YEL005C', 'YBR107C', 'YMR238W', 'YGL115W', 'YGR177C', 'YGL028C', 'YAL002W', 'YDR178W', 'YIL050W', 'YBL067C', 'YJL053W', 'YDR019C', 'YKL201C', 'YIL086C', 'YDR027C', 'YOL110W', 'YGL215W', 'YJL209W', 'YOL129W', 'YBR219C', 'YMR063W', 'YBL089W', 'YBL062W', 'YGL149W', 'YOR270C', 'YOR307C', 'YPR196W', 'YER031C', 'YOL033W', 'YGR255C', 'YPR167C', 'YDR183W', 'YGL195W', 'YDL135C', 'YML120C', 'YFL047W', 'YDR114C', 'YJL164C', 'YPR078C', 'YGL246C', 'YLR015W', 'YML062C', 'YNL097C', 'YNR051C', 'YCL025C', 'YLR267W', 'YMR010W', 'YBR121C', 'YOR277C', 'YOR008C', 'YOL015W', 'YDL170W', 'YOL003C', 'YLR154C', 'YGL152C', 'YJL169W', 'YJL067W', 'YGL058W', 'YLR338W', 'YGL133W', 'YOR138C', 'YDR107C', 'YPL118W', 'YML097C', 'YOR366W', 'YLR312W-A', 'YKL148C', 'YBR184W', 'YMR012W', 'YLR110C', 'YDR541C', 'YDR497C', 'YJL140W', 'YML110C', 'YDR003W-A', 'YJL105W', 'YCR046C', 'YBL107C', 'YOR136W', 'YPL199C', 'YHR175W-A', 'YDR477W', 'YCR044C', 'YGR220C', 'YDR392W', 'YJL184W', 'YKR009C', 'YBR268W', 'YGR189C', 'YLR077W', 'YDR230W', 'YFL013W-A', 'YDR304C', 'YGR257C', 'YGR132C', 'YKL109W', 'YCL063W', 'YEL030W', 'YML028W', 'YGR178C', 'YPL009C', 'YBL007C', 'YPR159C-A', 'YOL081W', 'YDL226C', 'YIL077C', 'YBR009C', 'YLR356W', 'YHR142W', 'YBR296C', 'YAL010C', 'YPL106C', 'YKL102C', 'YNL117W', 'YOR350C', 'YDL172C', 'YEL051W', 'YKL132C', 'YLR381W', 'YOL114C', 'YNR045W', 'YHR187W', 'YNL255C', 'YFL016C', 'YMR072W', 'YDL160C', 'YDL078C', 'YDR349C', 'YER087W', 'YCR068W', 'YMR029C', 'YNL333W', 'YMR231W', 'YCR028C', 'YKL123W', 'YOR201C', 'YOL091W', 'YGR038W', 'YAL066W', 'YJL038C', 'YNL076W', 'YIL058W', 'YMR222C', 'YOR216C', 'YLR283W', 'YDR144C', 'YMR303C', 'YOR023C', 'YOR050C', 'YMR075W', 'YIL161W', 'YER163C', 'YER060W-A', 'YPL021W', 'YHR193C', 'YOR142W', 'YHR004C', 'YDL155W', 'YLR182W', 'YCL026C-A', 'YBR248C', 'YIL110W', 'YGL252C', 'YJR092W', 'YDR116C', 'YHR079C-A', 'YHL036W', 'YIL128W', 'YPR039W', 'YLR282C', 'YOL049W', 'YGL129C', 'YDL069C', 'YLL018C-A', 'YLR148W', 'YDL130W-A', 'YDL216C', 'YDR296W', 'YER091C-A', 'YLR296W', 'YKL171W', 'YHL020C', 'YOR323C', 'YJR111C', 'YDR065W', 'YFR024C-A', 'YKL106W', 'YIR033W', 'YPR171W', 'YHR120W', 'YHR032W', 'YOR144C', 'YPL111W', 'YGL064C', 'YBL057C', 'YER086W', 'YBR194W', 'YER037W', 'YHL042W', 'YLL048C', 'YMR247C', 'YPL270W', 'YGR053C', 'YMR297W', 'YCR003W', 'YOR275C', 'YIL018W', 'YPR012W', 'YNR041C', 'YEL014C', 'YKL002W', 'YPR134W', 'YDL032W', 'YMR258C', 'YLR173W', 'YOR305W', 'YPL180W']"
utilization of phosphorus source: decreased,35,"['YDR226W', 'YJL176C', 'YJL024C', 'YDR264C', 'YPL110C', 'YEL045C', 'YGR261C', 'YML122C', 'YBR069C', 'YGL246C', 'YJL121C', 'YKL212W', 'YFL023W', 'YDR354W', 'YNL139C', 'YJL117W', 'YLR244C', 'YFR034C', 'YIR005W', 'YDR532C', 'YML094W', 'YPL193W', 'YMR304W', 'YNL229C', 'YNL280C', 'YDL106C', 'YBL027W', 'YDR388W', 'YCR098C', 'YDR432W', 'YML123C', 'YJL120W', 'YJR105W', 'YHL011C', 'YDR417C']"
utilization of phosphorus source: normal,1,['YPL206C']
utilization of sulfur source: absent,4,"['YJR130C', 'YGL184C', 'YLL055W', 'YBR294W']"
utilization of sulfur source: decreased,3,"['YLL057C', 'YPL274W', 'YBR294W']"
vacuolar distribution: abnormal,3,"['YGR233C', 'YOL076W', 'YPR131C']"
vacuolar distribution: decreased,2,"['YKL146W', 'YIL088C']"
