phenotype,count,Systematic Name
UV resistance: normal,10,"['YER171W', 'YDL164C', 'YOR144C', 'YPR164W', 'YOR005C', 'YMR284W', 'YBR098W', 'YBL057C', 'YER142C', 'YAL015C']"
X ray resistance: absent,1,['YDL164C']
X ray resistance: decreased,36,"['YDR004W', 'YDR359C', 'YER095W', 'YDR076W', 'YLR320W', 'YLL036C', 'YLR032W', 'YBR098W', 'YNL250W', 'YLR426W', 'YMR152W', 'YKL054C', 'YLR288C', 'YPL153C', 'YPR131C', 'YGL163C', 'YOR005C', 'YMR242C', 'YEL019C', 'YGL058W', 'YBR099C', 'YDR217C', 'YGL090W', 'YGL175C', 'YHR025W', 'YMR091C', 'YDL059C', 'YDR014W', 'YML032C', 'YJL092W', 'YPL204W', 'YJL168C', 'YOR368W', 'YPL022W', 'YDR386W', 'YCR066W']"
X ray resistance: increased,10,"['YGL150C', 'YDR359C', 'YDR440W', 'YBR081C', 'YOL148C', 'YJL127C', 'YOL076W', 'YCL016C', 'YPR131C', 'YPL254W']"
X ray resistance: normal,4,"['YIL128W', 'YBR098W', 'YER142C', 'YPR164W']"
acid pH resistance: decreased,410,"['YDR264C', 'YDR268W', 'YGR240C', 'YJL148W', 'YCR009C', 'YNL250W', 'YDL142C', 'YJL129C', 'YDL181W', 'YML008C', 'YNL291C', 'YDL202W', 'YCR025C', 'YNL199C', 'YGR192C', 'YOR134W', 'YFR010W', 'YOL111C', 'YDL063C', 'YGL240W', 'YML112W', 'YLR113W', 'YIR016W', 'YDR115W', 'YGR167W', 'YHR030C', 'YGL045W', 'YPL065W', 'YGL038C', 'YHL032C', 'YEL045C', 'YJR103W', 'YDR078C', 'YLR025W', 'YBR054W', 'YER014C-A', 'YKR020W', 'YOR027W', 'YPR133W-A', 'YGR150C', 'YPL259C', 'YML076C', 'YBR056W', 'YOR035C', 'YPL215W', 'YOR298C-A', 'YCR053W', 'YDR255C', 'YMR224C', 'YDR518W', 'YKL118W', 'YOR358W', 'YFL018C', 'YPL075W', 'YAL044C', 'YNL252C', 'YJL006C', 'YGL188C-A', 'YOL014W', 'YGR239C', 'YDL005C', 'YKL155C', 'YIL092W', 'YNL215W', 'YOL039W', 'YJL128C', 'YCR100C', 'YGL042C', 'YBR298C', 'YDL100C', 'YDR231C', 'YGL041C-B', 'YLR396C', 'YAL021C', 'YDR364C', 'YIL006W', 'YJL095W', 'YHR090C', 'YHR025W', 'YAL024C', 'YGR142W', 'YDR484W', 'YIR023W', 'YLR069C', 'YKL041W', 'YJL120W', 'YDL047W', 'YGR285C', 'YNL147W', 'YLR403W', 'YGL206C', 'YOR200W', 'YCR026C', 'YGR215W', 'YBL080C', 'YDR363W-A', 'YLR044C', 'YCL007C', 'YHR098C', 'YJR079W', 'YDR204W', 'YAL013W', 'YKL119C', 'YBL015W', 'YAR015W', 'YHR011W', 'YBR036C', 'YDR079C-A', 'YGR072W', 'YJL051W', 'YOR036W', 'YIL148W', 'YJL121C', 'YOR140W', 'YOR330C', 'YDR456W', 'YGR283C', 'YPL271W', 'YBR120C', 'YGL043W', 'YAL009W', 'YLR039C', 'YNL059C', 'YBL071W-A', 'YLR370C', 'YNL183C', 'YLR417W', 'YNL084C', 'YAL002W', 'YCR050C', 'YBL012C', 'YMR242W-A', 'YLR354C', 'YDL173W', 'YMR077C', 'YOR331C', 'YBR126C', 'YER068W', 'YDR027C', 'YDR126W', 'YNL169C', 'YBR122C', 'YIR026C', 'YJL059W', 'YBR132C', 'YHL031C', 'YIL120W', 'YMR143W', 'YNR052C', 'YGL020C', 'YIL084C', 'YEL059W', 'YDL185W', 'YIL053W', 'YAL047C', 'YNL003C', 'YDL190C', 'YOR270C', 'YDR008C', 'YDR148C', 'YMR183C', 'YGL195W', 'YDL135C', 'YDR114C', 'YOR038C', 'YOR043W', 'YLR056W', 'YJL056C', 'YIL017C', 'YLR118C', 'YMR263W', 'YNR014W', 'YOR010C', 'YGR204W', 'YGR050C', 'YPL078C', 'YNR051C', 'YCR090C', 'YDR042C', 'YOL148C', 'YPR099C', 'YOR008C', 'YPL213W', 'YER052C', 'YLR055C', 'YMR098C', 'YPL201C', 'YPR160W', 'YFL023W', 'YDL183C', 'YKL016C', 'YDL168W', 'YDR537C', 'YLR338W', 'YPL203W', 'YGL033W', 'YJL124C', 'YJR121W', 'YEL036C', 'YML097C', 'YJR104C', 'YPL069C', 'YDR159W', 'YAL016W', 'YDL116W', 'YDR158W', 'YCR021C', 'YBR097W', 'YLR240W', 'YOL002C', 'YJL140W', 'YGR055W', 'YIR005W', 'YMR154C', 'YPL129W', 'YCR024C-A', 'YJR018W', 'YIL073C', 'YPL057C', 'YDL077C', 'YDR477W', 'YDR079W', 'YLL028W', 'YPL084W', 'YDR069C', 'YDL180W', 'YJL184W', 'YAL026C', 'YBR289W', 'YNR006W', 'YDR315C', 'YDR230W', 'YEL037C', 'YDR512C', 'YKL055C', 'YAL059W', 'YCR092C', 'YGR188C', 'YPR165W', 'YOL051W', 'YMR198W', 'YDL113C', 'YBL007C', 'YDR295C', 'YNL296W', 'YGL012W', 'YPL234C', 'YGR064W', 'YJL183W', 'YIL042C', 'YDR138W', 'YDL226C', 'YGL070C', 'YIL077C', 'YBR003W', 'YIL040W', 'YGR020C', 'YPL058C', 'YGL186C', 'YAL020C', 'YHL014C', 'YNL280C', 'YBR128C', 'YNL117W', 'YHR021C', 'YOR014W', 'YJL058C', 'YDL067C', 'YDL179W', 'YOR350C', 'YPR173C', 'YNL213C', 'YJR127C', 'YPL214C', 'YBL071C-B', 'YIL028W', 'YGL078C', 'YER150W', 'YBL045C', 'YCL038C', 'YOL100W', 'YOL027C', 'YGR262C', 'YDL160C', 'YOL143C', 'YPR131C', 'YIL107C', 'YCR068W', 'YDR257C', 'YJL063C', 'YNL081C', 'YJL158C', 'YMR231W', 'YCR028C', 'YOR201C', 'YDL075W', 'YGR038W', 'YGR104C', 'YPL087W', 'YKL096C-B', 'YEL062W', 'YEL060C', 'YBL093C', 'YBR264C', 'YKL080W', 'YNL243W', 'YKL081W', 'YGR040W', 'YOL050C', 'YCR045C', 'YPL045W', 'YIL119C', 'YPL042C', 'YBL090W', 'YGR063C', 'YAL048C', 'YOR050C', 'YPL061W', 'YNL055C', 'YKL213C', 'YKR001C', 'YLR047C', 'YGL100W', 'YER026C', 'YGR271W', 'YOR332W', 'YMR091C', 'YBR286W', 'YCR024C', 'YHR004C', 'YJL110C', 'YKR085C', 'YDR074W', 'YDR283C', 'YBR260C', 'YGR226C', 'YKL212W', 'YCR047C', 'YLR244C', 'YHL027W', 'YDL241W', 'YGR180C', 'YJL204C', 'YLR138W', 'YMR202W', 'YDR298C', 'YNL229C', 'YBR035C', 'YNL206C', 'YDL049C', 'YLL018C-A', 'YLR148W', 'YDR296W', 'YHL020C', 'YHL007C', 'YDR129C', 'YDR065W', 'YNL140C', 'YBL013W', 'YMR015C', 'YMR125W', 'YBL079W', 'YGL095C', 'YHR060W', 'YMR080C', 'YGR217W', 'YKL096W', 'YCR094W', 'YPL002C', 'YDR195W', 'YBL099W', 'YER050C', 'YPL195W', 'YIL065C', 'YOR141C', 'YFL052W', 'YIL029C', 'YGL026C', 'YHL026C', 'YPR163C', 'YDL107W', 'YDR322W', 'YLR067C', 'YCR016W', 'YNL136W', 'YGL168W', 'YOL145C', 'YOR234C', 'YIL064W', 'YJL127C', 'YNL236W', 'YJR090C', 'YNL238W', 'YNL241C', 'YCL005W-A', 'YDR033W', 'YCL008C', 'YOR030W', 'YKL002W', 'YPR134W', 'YDL133C-A', 'YPL249C-A', 'YJL141C', 'YLR414C', 'YBL058W', 'YGL024W', 'YOR089C', 'YLR119W', 'YNL025C', 'YBR068C']"
acid pH resistance: increased,2,"['YPR008W', 'YML028W']"
acid pH resistance: normal,2,"['YJL093C', 'YKR050W']"
acquired thermotolerance: decreased,44,"['YEL009C', 'YAL056W', 'YHL033C', 'YDR392W', 'YGL195W', 'YGR240C', 'YLR285W', 'YDR074W', 'YCR009C', 'YBR126C', 'YOL081W', 'YOR360C', 'YBR077C', 'YER020W', 'YOR043W', 'YNL088W', 'YPL101W', 'YJL175W', 'YML042W', 'YCL061C', 'YIL040W', 'YLR328W', 'YEL013W', 'YPL026C', 'YLL026W', 'YMR126C', 'YOR328W', 'YIL090W', 'YBL094C', 'YKR026C', 'YCL056C', 'YER056C', 'YKR029C', 'YCL036W', 'YDL020C', 'YKR017C', 'YDR500C', 'YLR414C', 'YDR293C', 'YLR178C', 'YIL071C', 'YCL050C', 'YNL122C', 'YLR296W']"
acquired thermotolerance: increased,1,['YLR178C']
