physical_interaction_id,count,Systematic Name,physical_interaction
YAL016W,47,"['YAL024C', 'YBR079C', 'YDL134C', 'YDL156W', 'YDL188C', 'YDR162C', 'YDR482C', 'YER167W', 'YFR004W', 'YFR024C-A', 'YFR028C', 'YGL190C', 'YGR161C', 'YGR281W', 'YHR027C', 'YHR082C', 'YHR135C', 'YHR158C', 'YIL031W', 'YIL065C', 'YIL069C', 'YIL153W', 'YJL020C', 'YJL057C', 'YJR066W', 'YKL080W', 'YKL203C', 'YLR191W', 'YML024W', 'YML063W', 'YML109W', 'YMR105C', 'YMR273C', 'YNL127W', 'YNL209W', 'YNL255C', 'YNR032W', 'YOL113W', 'YOR014W', 'YOR073W', 'YOR081C', 'YOR094W', 'YOR162C', 'YPL020C', 'YPL090C', 'YPL152W', 'YPL256C']",TPD3
YAL017W,41,"['YAR019C', 'YCL027W', 'YCL043C', 'YCR020W-B', 'YDL018C', 'YDL077C', 'YDL100C', 'YDL153C', 'YDR099W', 'YDR190C', 'YDR259C', 'YDR293C', 'YDR454C', 'YER054C', 'YER133W', 'YGL066W', 'YGL112C', 'YGL122C', 'YGL245W', 'YGR252W', 'YHL024W', 'YJL110C', 'YKL035W', 'YKL049C', 'YKL168C', 'YLL013C', 'YLL061W', 'YLR150W', 'YLR257W', 'YLR258W', 'YLR314C', 'YML037C', 'YML073C', 'YMR184W', 'YNL247W', 'YNR047W', 'YOL045W', 'YOL125W', 'YOR196C', 'YPR034W', 'YPR160W']",PSK1
YAL019W,21,"['YAL019W', 'YAL026C', 'YAR007C', 'YBL003C', 'YBL088C', 'YBR010W', 'YBR084W', 'YBR160W', 'YDL097C', 'YDL147W', 'YDR225W', 'YFR052W', 'YHL034C', 'YHR164C', 'YIL035C', 'YJL124C', 'YJR119C', 'YLR027C', 'YNL031C', 'YOL045W', 'YOR033C']",FUN30
YAL020C,7,"['YBL071W-A', 'YBR160W', 'YDL108W', 'YDR354W', 'YHL007C', 'YHR082C', 'YKR048C']",ATS1
YAL021C,54,"['YAL021C', 'YBL032W', 'YBR034C', 'YBR172C', 'YBR279W', 'YCL028W', 'YCR093W', 'YDL140C', 'YDL149W', 'YDL165W', 'YDR138W', 'YDR188W', 'YDR190C', 'YDR252W', 'YDR443C', 'YER068W', 'YER133W', 'YER165W', 'YFL028C', 'YGL014W', 'YGL048C', 'YGL122C', 'YGL178W', 'YGL195W', 'YGR005C', 'YGR086C', 'YGR092W', 'YGR134W', 'YGR155W', 'YGR184C', 'YIL038C', 'YIR010W', 'YJL112W', 'YKR036C', 'YLL013C', 'YLR418C', 'YLR438C-A', 'YML098W', 'YMR005W', 'YMR124W', 'YMR181C', 'YNL025C', 'YNL209W', 'YNL216W', 'YNL278W', 'YNL288W', 'YNR051C', 'YNR052C', 'YOL123W', 'YOR027W', 'YOR057W', 'YPL037C', 'YPL042C', 'YPR072W']",CCR4
YAL022C,7,"['YBR159W', 'YDR497C', 'YHR140W', 'YJR117W', 'YNL197C', 'YOR153W', 'YPL240C']",FUN26
YAL023C,25,"['YAL007C', 'YAR002C-A', 'YAR027W', 'YBR159W', 'YCL037C', 'YCL043C', 'YCR043C', 'YCR077C', 'YDL093W', 'YDL095W', 'YDL126C', 'YDR057W', 'YDR411C', 'YER120W', 'YGL200C', 'YHR200W', 'YKL130C', 'YKL212W', 'YLL013C', 'YML012W', 'YML029W', 'YML130C', 'YNL074C', 'YOL013C', 'YPL026C']",PMT2
YAL024C,67,"['YAL016W', 'YBL087C', 'YBL097W', 'YBR160W', 'YCL009C', 'YCL017C', 'YCL040W', 'YCR012W', 'YDL061C', 'YDL077C', 'YDL171C', 'YDR050C', 'YDR232W', 'YDR300C', 'YDR348C', 'YDR385W', 'YDR516C', 'YEL046C', 'YER117W', 'YER177W', 'YFL018C', 'YFR028C', 'YGL037C', 'YGL148W', 'YGR118W', 'YGR152C', 'YGR234W', 'YGR238C', 'YGR254W', 'YHL021C', 'YHR158C', 'YHR174W', 'YIL033C', 'YIL109C', 'YIR009W', 'YJR104C', 'YJR123W', 'YKL152C', 'YKR001C', 'YLR044C', 'YLR058C', 'YLR084C', 'YLR259C', 'YLR388W', 'YLR438W', 'YML064C', 'YMR116C', 'YMR217W', 'YMR250W', 'YMR261C', 'YMR300C', 'YNL014W', 'YNL015W', 'YNL085W', 'YNL098C', 'YNL312W', 'YOL139C', 'YOL143C', 'YOR101W', 'YOR133W', 'YOR233W', 'YOR276W', 'YPR119W', 'YPR132W', 'YPR140W', 'YPR145W', 'YPR181C']",LTE1
YAL025C,26,"['YCL037C', 'YDL077C', 'YDR087C', 'YFL002C', 'YGL111W', 'YGL122C', 'YGR103W', 'YGR218W', 'YHR066W', 'YHR088W', 'YIL031W', 'YIR010W', 'YKL014C', 'YKL021C', 'YLR002C', 'YLR009W', 'YLR276C', 'YLR320W', 'YML065W', 'YNL002C', 'YNL110C', 'YNL255C', 'YNR051C', 'YOR005C', 'YOR206W', 'YOR267C']",MAK16
YAL026C,37,"['YAL019W', 'YAL026C', 'YAL053W', 'YBL078C', 'YBR023C', 'YBR164C', 'YCR094W', 'YDL019C', 'YDL149W', 'YDR054C', 'YDR238C', 'YDR293C', 'YDR497C', 'YEL022W', 'YER166W', 'YGL008C', 'YGL203C', 'YGR229C', 'YHL034C', 'YJL034W', 'YJL042W', 'YJL153C', 'YJL204C', 'YKL010C', 'YKL135C', 'YKL212W', 'YLR431C', 'YLR447C', 'YML069W', 'YML072C', 'YMR001C', 'YNL321W', 'YNL323W', 'YOR104W', 'YPR029C', 'YPR129W', 'YPR181C']",DRS2
YAL027W,35,"['YBR196C', 'YCL024W', 'YCL037C', 'YCR009C', 'YCR028C-A', 'YCR092C', 'YDL014W', 'YDR174W', 'YDR381W', 'YDR388W', 'YDR409W', 'YDR507C', 'YER049W', 'YER095W', 'YGL106W', 'YGL122C', 'YIL095W', 'YIL105C', 'YLL013C', 'YLL018C', 'YLR044C', 'YLR135W', 'YLR429W', 'YML032C', 'YML095C', 'YMR128W', 'YNL106C', 'YOL086C', 'YOL090W', 'YOR156C', 'YOR294W', 'YPL004C', 'YPL022W', 'YPL146C', 'YPR171W']",SAW1
YAL028W,58,"['YAL005C', 'YAL047C', 'YAR018C', 'YBL032W', 'YBR039W', 'YBR057C', 'YBR160W', 'YBR171W', 'YCR091W', 'YDL018C', 'YDL239C', 'YDR295C', 'YFL046W', 'YFR014C', 'YGL122C', 'YGL180W', 'YGR040W', 'YHL007C', 'YHR079C', 'YHR082C', 'YHR135C', 'YHR186C', 'YIL002W-A', 'YIL095W', 'YJL092W', 'YJL106W', 'YJL112W', 'YJL187C', 'YKL072W', 'YKL171W', 'YKR054C', 'YKR103W', 'YKR104W', 'YLL013C', 'YLL024C', 'YLR233C', 'YLR254C', 'YLR292C', 'YLR378C', 'YMR053C', 'YMR139W', 'YMR186W', 'YNL084C', 'YNL154C', 'YNL197C', 'YNL298W', 'YNL307C', 'YOL034W', 'YOR254C', 'YOR267C', 'YOR324C', 'YOR344C', 'YOR351C', 'YPL026C', 'YPL094C', 'YPL153C', 'YPL174C', 'YPR141C']",FRT2
